n_candidates,perm,optimism,observed
2,0,0.007542757232763542,0.009008524354215619
2,1,0.009050905121526953,0.009008524354215619
2,2,0.009594233892830317,0.009008524354215619
2,3,0.007807163625607738,0.009008524354215619
2,4,0.006928917568033266,0.009008524354215619
2,5,0.004791307711330184,0.009008524354215619
2,6,0.010206535837323227,0.009008524354215619
2,7,0.006088399108928888,0.009008524354215619
2,8,0.00484793201524536,0.009008524354215619
2,9,0.004955110969595666,0.009008524354215619
2,10,0.008391440725230126,0.009008524354215619
2,11,0.009169067830983924,0.009008524354215619
2,12,0.005816447582192574,0.009008524354215619
2,13,0.008779619856249199,0.009008524354215619
2,14,0.009332583456694632,0.009008524354215619
2,15,0.00809792368923068,0.009008524354215619
2,16,0.006405939459953602,0.009008524354215619
2,17,0.007880467737823471,0.009008524354215619
2,18,0.008798404194863108,0.009008524354215619
2,19,0.009596345350038615,0.009008524354215619
2,20,0.009765080305641827,0.009008524354215619
2,21,0.008681665467674349,0.009008524354215619
2,22,0.009022123484306088,0.009008524354215619
2,23,0.00441726730905978,0.009008524354215619
2,24,0.006926804049274593,0.009008524354215619
2,25,0.011916336868403321,0.009008524354215619
2,26,0.009525954375003254,0.009008524354215619
2,27,0.0071281392214809225,0.009008524354215619
2,28,0.00799550292255402,0.009008524354215619
2,29,0.009664300550381366,0.009008524354215619
2,30,0.008162746960803657,0.009008524354215619
2,31,0.007848403055105813,0.009008524354215619
2,32,0.007403263844550034,0.009008524354215619
2,33,0.011188866530572161,0.009008524354215619
2,34,0.009456092803264093,0.009008524354215619
2,35,0.009020717111653864,0.009008524354215619
2,36,0.009414337805731088,0.009008524354215619
2,37,0.01198433675962185,0.009008524354215619
2,38,0.011817820546305202,0.009008524354215619
2,39,0.007114493827220958,0.009008524354215619
2,40,0.011853573468640022,0.009008524354215619
2,41,0.008001462879080101,0.009008524354215619
2,42,0.00840480550764977,0.009008524354215619
2,43,0.007290047127387234,0.009008524354215619
2,44,0.007721386144670439,0.009008524354215619
2,45,0.010461593149666881,0.009008524354215619
2,46,0.010854972532817864,0.009008524354215619
