target_kind,seed,target,k,subset,n_pos,auroc
presence,1,SNFH,4,T1n+T1c+T2w+T2f,1322,0.9542229641608848
presence,1,NETC,4,T1n+T1c+T2w+T2f,1228,0.878075262837319
presence,2,ET,1,T2f,1314,0.7450327039368135
presence,2,SNFH,1,T2f,1322,0.9551098127184516
presence,2,NETC,1,T2f,1228,0.8803924684197982
presence,2,ET,1,T2w,1314,0.806594265498375
presence,2,SNFH,1,T2w,1322,0.9528405237623245
presence,2,NETC,1,T2w,1228,0.8487990254495379
presence,2,ET,1,T1c,1314,0.8078695133489654
presence,2,SNFH,1,T1c,1322,0.9448588867442225
presence,2,NETC,1,T1c,1228,0.8447737083234025
presence,2,ET,1,T1n,1314,0.7609527335554733
presence,2,SNFH,1,T1n,1322,0.9366164119150713
presence,2,NETC,1,T1n,1228,0.8414898969836604
presence,2,ET,2,T2w+T2f,1314,0.8307417006047142
presence,2,SNFH,2,T2w+T2f,1322,0.954744639782983
presence,2,NETC,2,T2w+T2f,1228,0.8826500887158709
presence,2,ET,2,T1c+T2f,1314,0.756900736352791
presence,2,SNFH,2,T1c+T2f,1322,0.9536230371954718
presence,2,NETC,2,T1c+T2f,1228,0.8813392124149254
presence,2,ET,2,T1c+T2w,1314,0.8372207824262619
presence,2,SNFH,2,T1c+T2w,1322,0.95414471281757
presence,2,NETC,2,T1c+T2w,1228,0.8650327057016498
presence,2,ET,2,T1n+T2f,1314,0.6986712740137397
presence,2,SNFH,2,T1n+T2f,1322,0.9610829985914757
presence,2,NETC,2,T1n+T2f,1228,0.8701437991578613
presence,2,ET,2,T1n+T2w,1314,0.8250853593319347
presence,2,SNFH,2,T1n+T2w,1322,0.9535708696332621
presence,2,NETC,2,T1n+T2w,1228,0.8582135007017823
presence,2,ET,2,T1n+T1c,1314,0.8123740178534699
presence,2,SNFH,2,T1n+T1c,1322,0.9467890865459857
presence,2,NETC,2,T1n+T1c,1228,0.8489910224835148
presence,2,ET,3,T1c+T2w+T2f,1314,0.8199843679295734
presence,2,SNFH,3,T1c+T2w+T2f,1322,0.9540925452553601
presence,2,NETC,3,T1c+T2w+T2f,1228,0.8873838086915071
presence,2,ET,3,T1n+T2w+T2f,1314,0.7935332592866838
presence,2,SNFH,3,T1n+T2w+T2f,1322,0.9582137826699358
presence,2,NETC,3,T1n+T2w+T2f,1228,0.8739175339636133
presence,2,ET,3,T1n+T1c+T2f,1314,0.7573326751408943
presence,2,SNFH,3,T1n+T1c+T2f,1322,0.9542751317230945
presence,2,NETC,3,T1n+T1c+T2f,1228,0.8731032017160563
presence,2,ET,3,T1n+T1c+T2w,1314,0.8422189312600271
presence,2,SNFH,3,T1n+T1c+T2w,1322,0.9573269341123689
presence,2,NETC,3,T1n+T1c+T2w,1228,0.8625102619104367
presence,2,ET,4,T1n+T1c+T2w+T2f,1314,0.8093504463367477
presence,2,SNFH,4,T1n+T1c+T2w+T2f,1322,0.9565444206792217
presence,2,NETC,4,T1n+T1c+T2w+T2f,1228,0.8771550011917056
burden,0,ET,1,T2f,677,0.8287369219238305
burden,0,SNFH,1,T2f,666,0.9081694833519651
burden,0,NETC,1,T2f,672,0.7822121116487832
burden,0,ET,1,T2w,677,0.841270397854034
burden,0,SNFH,1,T2w,666,0.8936520462067906
burden,0,NETC,1,T2w,672,0.8148603513570376
burden,0,ET,1,T1c,677,0.9104729803768589
burden,0,SNFH,1,T1c,666,0.8694504723701804
