a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.001247455052380232,-0.005699353900533554,0.003136340692421546,0.3035,2000
queryseq,uniform,budget,2,3,0.0014234315018005668,-0.005700296285497942,0.008462143554818802,0.655,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.0021564617130158054,-0.007493703769086189,0.003125932143231801,0.2155,2000
queryseq,patient,budget,2,3,-0.0010180443973245425,-0.009121333184372773,0.006953279415548293,0.41,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0001488465086156546,-0.005512296326258225,0.0058175494197101685,0.537,2000
queryseq,finding,budget,2,3,-0.0044766255976927995,-0.013496243477294,0.004106710857505224,0.1645,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,-0.002069348985981215,-0.005561528682555192,0.001270942865317788,0.1255,2000
queryseq,label_id,budget,2,3,-0.0020965892724848626,-0.008280441033621213,0.003885422641164667,0.2365,2000
