seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
0,0.02,Structure of cave of septum pellucidum,22,238,T2ax+FLAIRax+T2cor,3,-0.013798626689839806,0.03449729788704781,0.0010929796334851862,True
1,0.005,Cerebral infarction,42,339,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Cerebral infarction,42,339,T2ax+FLAIRax+T2cor,3,-0.007255997759092957,-0.004452768804908727,-0.019198153267920858,True
1,0.02,Cerebral infarction,42,339,FLAIRax,1,-0.016950919315929545,-0.020640734909633272,-0.06328951398023713,False
1,0.005,Demyelinating disease of central nervous system,21,294,T2ax+FLAIRax+T2cor,3,0.0037519735806469303,-0.016239323064087183,-0.04061216723071926,False
1,0.01,Demyelinating disease of central nervous system,21,294,T2ax+FLAIRax+T2cor,3,0.0037519735806469303,-0.016239323064087183,-0.04061216723071926,False
1,0.02,Demyelinating disease of central nervous system,21,294,FLAIRax,1,-0.019147912399111552,-0.017912586795803823,-0.09777096163280763,True
1,0.005,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax+T2cor,4,0.0,0.0,0.0,True
1,0.01,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax,3,-0.007981130351071614,-0.04236512660647127,-0.06918281255511095,False
1,0.02,Lacunar infarct,21,189,T1ax+T2ax+FLAIRax,3,-0.007981130351071614,-0.04236512660647127,-0.06918281255511095,False
1,0.005,Gliosis,451,3854,T2ax+FLAIRax+T2cor,3,-0.0015214583990271625,0.002806416161993529,-0.0035573067681976263,True
1,0.01,Gliosis,451,3854,T2ax+FLAIRax,2,-0.005059179971277868,-0.0008116259685474126,-0.009804093747743929,True
1,0.02,Gliosis,451,3854,FLAIRax,1,-0.010993471736844874,-0.0021316333032545967,-0.013700251371802242,True
1,0.005,Cerebral atrophy,213,2012,T2ax+FLAIRax,2,-0.003164320058770501,0.00044647458091809475,-0.004017763151177367,True
1,0.01,Cerebral atrophy,213,2012,T2ax,1,-0.006714846993839415,-0.0029218789914824007,-0.008589856904493886,True
1,0.02,Cerebral atrophy,213,2012,T2ax,1,-0.006714846993839415,-0.0029218789914824007,-0.008589856904493886,True
1,0.005,Encephalomalacia,25,248,T1ax+T2ax+T2cor,3,-0.004586210119399382,-0.017300702345057525,-0.04866742096241309,False
1,0.01,Encephalomalacia,25,248,T1ax+T2ax+T2cor,3,-0.004586210119399382,-0.017300702345057525,-0.04866742096241309,False
1,0.02,Encephalomalacia,25,248,T1ax+T2ax+T2cor,3,-0.004586210119399382,-0.017300702345057525,-0.04866742096241309,True
