seed,condition,macro_auroc,macro_auprc,worst_auroc,routing_cos_vs_base,query_head,ckpt_tag
0,both correct,0.7851210657128106,0.27913011726860215,0.6022186147186147,1.0,True,_k5qh
0,gate shuffled,0.7843475232215366,0.271776262810211,0.6150432900432901,0.9404892921447754,True,_k5qh
0,readout shuffled,0.615543600036175,0.16943350149498973,0.19483607949719717,1.0,True,_k5qh
0,both shuffled,0.6180385756671325,0.16851555862693535,0.1968744691693562,0.9404892921447754,True,_k5qh
1,both correct,0.7817848039729435,0.28056147649203006,0.6002719978240174,1.0,True,_k5qh
1,gate shuffled,0.7787200425238247,0.26536712581417415,0.6069087447300422,0.9243110418319702,True,_k5qh
1,readout shuffled,0.6070437322553296,0.16733712477262178,0.23758907363420428,1.0,True,_k5qh
1,both shuffled,0.5998387115539151,0.15265031404135618,0.24222090261282658,0.9243110418319702,True,_k5qh
2,both correct,0.7873417573272352,0.287584497083256,0.6249422004623963,1.0,True,_k5qh
2,gate shuffled,0.7836129909089271,0.2765345054483514,0.6193181818181819,0.9241109490394592,True,_k5qh
2,readout shuffled,0.5664531835496295,0.1467119559430004,0.1693503864556496,1.0,True,_k5qh
2,both shuffled,0.5700774906036612,0.1468935813136826,0.17546926757453074,0.9241109490394592,True,_k5qh
