min_pos,n_findings,n_distinct_best,macro_full4,macro_best_fixed,macro_oracle_perfinding,full4_rank
20,35,21,0.7436321771022092,0.7436321771022092,0.7784349497855327,1
30,33,21,0.7549401986106946,0.7549401986106946,0.7863971872218548,1
50,27,18,0.762142461648984,0.762142461648984,0.7876766070046405,1
