shift,held_out,a,b,delta,ci_lo,ci_hi,p_sign,n_reps
vendor,Siemens,queryseq,uniform,-0.0005935105244409394,-0.0023253529575106755,0.0010930473134667374,0.241,1000
vendor,Siemens,queryseq,patient,-0.0030120773842192135,-0.004779240905747237,-0.001434554433625609,0.0,1000
vendor,Siemens,queryseq,finding,-0.0007897156860606787,-0.00247110958926208,0.0008251185766996772,0.173,1000
vendor,Siemens,queryseq,label_id,-0.0007128469550941675,-0.0025330984369966577,0.001057615821920266,0.217,1000
field,3.0,queryseq,uniform,-0.00021913549785226706,-0.0009887676024752988,0.0006299254611627977,0.271,1000
field,3.0,queryseq,patient,-0.0003087821120330531,-0.0009823333962914091,0.00041203262313439044,0.194,1000
field,3.0,queryseq,finding,-0.00031337793746099283,-0.0010161554792562067,0.00044178893074909995,0.192,1000
field,3.0,queryseq,label_id,-0.00018275514825051806,-0.0008779722241143438,0.0005252537671002539,0.289,1000
