min_pos,n_findings,n_distinct_best,macro_full4,macro_best_fixed,macro_oracle_perfinding,full4_rank
20,33,14,0.7661340382736663,0.7725273115763847,0.7923971142585541,3
30,29,13,0.7761684936359393,0.7815612648439082,0.7951439771148396,2
50,25,12,0.7900488061478744,0.791138714084428,0.8044097780587792,2
