n_candidates,n_perms,observed,null_mean,null_median,null_p05,null_p95,null_max,frac_null_ge_observed
2,100,0.009008524354215619,0.00864738915712201,0.008500707815109476,0.005843507503222234,0.011856711638628186,0.012362565587915597,0.43
4,100,0.013972674265792184,0.0137872743702963,0.013434611923298367,0.010769698142116091,0.018165086928607826,0.019168209728644747,0.46
8,100,0.01735239768017116,0.019746454688335725,0.019617875132545204,0.015719365461464057,0.023672057422331104,0.025630740375464256,0.82
15,100,0.02583303160949546,0.027742938258422046,0.027400420916099066,0.022833259189458194,0.03366283003512145,0.03507438708716626,0.76
31,100,0.03429493579154619,0.033658820487296556,0.03365976320949715,0.02764853248566875,0.03921591148261536,0.041395856425967326,0.42
