seed,delta,finding,n_pos_test,n_pos_train,subset,k,train_lcb,test_delta,test_lcb,kept_promise
1,0.005,Cerebral hemorrhage,20,294,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
1,0.01,Cerebral hemorrhage,20,294,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.0074655657175337325,-0.011171990978553883,-0.024990653286107844,False
1,0.02,Cerebral hemorrhage,20,294,FLAIRax+SWIax,2,-0.01611016556912483,0.007043798390859541,-0.0343590840410914,True
1,0.005,Gliosis,284,3534,T2ax+FLAIRax+SWIax,3,-0.004796782053255462,-0.008594134903043478,-0.01891208310906135,False
1,0.01,Gliosis,284,3534,T2ax+FLAIRax,2,-0.008361540960153218,0.002101204418547993,-0.011555208123615273,True
1,0.02,Gliosis,284,3534,FLAIRax,1,-0.01514950283141427,-0.006777392867516585,-0.025529988055731433,True
1,0.005,Cerebral atrophy,102,1310,FLAIRax+FLAIRsag,2,-0.004933596850591942,-0.011505229427475607,-0.020566525012273584,False
1,0.01,Cerebral atrophy,102,1310,FLAIRax+FLAIRsag,2,-0.004933596850591942,-0.011505229427475607,-0.020566525012273584,False
1,0.02,Cerebral atrophy,102,1310,T2ax,1,-0.011867273786543828,-0.011152795246909972,-0.02945184495307277,True
1,0.005,Arachnoid cyst,43,389,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.0031218072149988394,-0.04466172306836272,-0.0716177240136527,False
1,0.01,Arachnoid cyst,43,389,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.0031218072149988394,-0.04466172306836272,-0.0716177240136527,False
1,0.02,Arachnoid cyst,43,389,T1ax+FLAIRax,2,-0.018878641369322074,-0.016639363933807688,-0.06754533455118557,True
1,0.005,Empty sella syndrome,45,351,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.003755913171395701,-0.015690392917434032,-0.048402387450681456,False
1,0.01,Empty sella syndrome,45,351,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.003755913171395701,-0.015690392917434032,-0.048402387450681456,False
1,0.02,Empty sella syndrome,45,351,T2ax+FLAIRax+FLAIRsag,3,-0.015247198396829663,-0.026587211310571564,-0.07091750626751515,False
1,0.005,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
1,0.01,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
1,0.02,Cyst of pineal gland,21,103,T2ax+FLAIRax+FLAIRsag+SWIax,4,-0.016173008271118266,0.002449944272366669,-0.03303726957230169,True
1,0.005,Cerebral edema,43,533,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.002841699472546053,-0.0013566322165346526,-0.011457668239299845,True
1,0.01,Cerebral edema,43,533,FLAIRax,1,-0.009959579488773119,0.03205464561815405,-0.0054597121893183035,True
1,0.02,Cerebral edema,43,533,FLAIRax,1,-0.009959579488773119,0.03205464561815405,-0.0054597121893183035,True
1,0.005,Mastoiditis,22,265,T2ax+FLAIRax,2,-0.004852037626696142,-0.014962312532296358,-0.10198735756222385,False
1,0.01,Mastoiditis,22,265,T2ax+FLAIRax,2,-0.004852037626696142,-0.014962312532296358,-0.10198735756222385,False
1,0.02,Mastoiditis,22,265,T2ax,1,-0.019559314841112778,0.0021218858281902534,-0.057980552003410096,True
1,0.005,Ventriculomegaly,64,889,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
1,0.01,Ventriculomegaly,64,889,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.00693944426124687,-0.0012048815650116337,-0.0103950947868782,True
1,0.02,Ventriculomegaly,64,889,T1ax+FLAIRax,2,-0.016208975914111915,-0.015305127617686588,-0.03215394328182403,True
1,0.005,Cerebellar degeneration,39,351,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
1,0.01,Cerebellar degeneration,39,351,T1ax+T2ax+FLAIRax+FLAIRsag,4,-0.007802782021756268,-0.04500942233633596,-0.08072662917447103,False
1,0.02,Cerebellar degeneration,39,351,T1ax+T2ax,2,-0.019721374382776304,-0.05790691557356098,-0.11269348119213245,False
1,0.005,Mega cisterna magna,22,104,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.006890848821007826,0.045843713272879665,0.02191566501538426,True
1,0.01,Mega cisterna magna,22,104,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.006890848821007826,0.045843713272879665,0.02191566501538426,True
1,0.02,Mega cisterna magna,22,104,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.006890848821007826,0.045843713272879665,0.02191566501538426,True
2,0.005,Cerebral infarction,26,424,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.01,Cerebral infarction,26,424,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.02,Cerebral infarction,26,424,T2ax+FLAIRax+SWIax,3,-0.01722699864171717,-0.007447304488258712,-0.06580235811350918,True
2,0.005,Cerebral hemorrhage,20,294,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.004056905328362193,-0.011171990978553883,-0.024990653286107844,False
2,0.01,Cerebral hemorrhage,20,294,T1ax+FLAIRax+FLAIRsag+SWIax,4,-0.004056905328362193,-0.011171990978553883,-0.024990653286107844,False
2,0.02,Cerebral hemorrhage,20,294,FLAIRax+FLAIRsag+SWIax,3,-0.013986709560926156,-0.025939410880111025,-0.05738703134475043,False
2,0.005,Gliosis,284,3534,T2ax+FLAIRax+FLAIRsag+SWIax,4,-0.0026359286968137934,-0.0008485510634471055,-0.008311880535189048,True
2,0.01,Gliosis,284,3534,FLAIRax+FLAIRsag,2,-0.008083305229355,0.00728562835352186,-0.009289696410451964,True
2,0.02,Gliosis,284,3534,FLAIRax,1,-0.01580067464252221,-0.006777392867516585,-0.025529988055731433,True
2,0.005,Cerebral atrophy,102,1310,FLAIRax+FLAIRsag,2,-0.003156880160578545,-0.011505229427475607,-0.020566525012273584,False
2,0.01,Cerebral atrophy,102,1310,FLAIRax,1,-0.007732960161625157,0.004977623943289861,-0.007051315199163172,True
2,0.02,Cerebral atrophy,102,1310,FLAIRax,1,-0.007732960161625157,0.004977623943289861,-0.007051315199163172,True
2,0.005,Arachnoid cyst,43,389,T1ax+T2ax+FLAIRax+FLAIRsag,4,0.005329528877172601,-0.04466172306836272,-0.0716177240136527,False
2,0.01,Arachnoid cyst,43,389,T1ax+FLAIRax+FLAIRsag,3,-0.00958124871372296,-0.07609420725701628,-0.11820722378652276,False
2,0.02,Arachnoid cyst,43,389,T1ax+FLAIRax+FLAIRsag,3,-0.00958124871372296,-0.07609420725701628,-0.11820722378652276,False
2,0.005,Empty sella syndrome,45,351,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.01,Empty sella syndrome,45,351,T2ax+FLAIRax+FLAIRsag,3,-0.008855991995348002,-0.026587211310571564,-0.07091750626751515,False
2,0.02,Empty sella syndrome,45,351,T2ax+FLAIRsag,2,-0.019645086053292866,-0.05271141889858507,-0.12185882723572253,False
2,0.005,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.01,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.02,Cyst of pineal gland,21,103,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.005,Cerebral edema,43,533,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.01,Cerebral edema,43,533,FLAIRax+FLAIRsag,2,-0.00826616983663268,0.02696800146923963,0.005875297547794251,True
2,0.02,Cerebral edema,43,533,FLAIRax,1,-0.012624907108574864,0.03205464561815405,-0.0054597121893183035,True
2,0.005,Mastoiditis,22,265,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.0019882351267771774,0.04947486293308013,0.0011640466084608622,True
2,0.01,Mastoiditis,22,265,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.0019882351267771774,0.04947486293308013,0.0011640466084608622,True
2,0.02,Mastoiditis,22,265,T2ax+FLAIRax+FLAIRsag,3,-0.010071423092114746,0.04667441980438637,-0.008032873491952823,True
2,0.005,Ventriculomegaly,64,889,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.01,Ventriculomegaly,64,889,T1ax+FLAIRax+FLAIRsag,3,-0.009672796232126994,-0.016715654018315797,-0.03182564669273518,False
2,0.02,Ventriculomegaly,64,889,T1ax+FLAIRsag,2,-0.016555560446464442,-0.03733325247300922,-0.06548733749710536,False
2,0.005,Cerebellar degeneration,39,351,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.01,Cerebellar degeneration,39,351,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,5,0.0,0.0,0.0,True
2,0.02,Cerebellar degeneration,39,351,T2ax+FLAIRax+FLAIRsag,3,-0.018799670545267128,-0.05579029197435934,-0.09688933697295646,False
2,0.005,Mega cisterna magna,22,104,T2ax+FLAIRax+FLAIRsag+SWIax,4,0.0020033354291994765,0.045843713272879665,0.02191566501538426,True
2,0.01,Mega cisterna magna,22,104,T2ax,1,-0.0076612580678977965,-0.06781589462933335,-0.1727748067351476,False
2,0.02,Mega cisterna magna,22,104,T2ax,1,-0.0076612580678977965,-0.06781589462933335,-0.1727748067351476,False
