n_candidates,n_perms,observed,null_mean,null_median,null_p05,null_p95,null_max,frac_null_ge_observed
2,100,0.004234679409709119,0.00547338566071894,0.005473729662763049,0.0035847873618648552,0.0075926074377156505,0.00813150935260526,0.83
4,100,0.006183540587758607,0.013581173329091282,0.013484215861408938,0.00998110848941329,0.017384753473503708,0.019750559942976365,1.0
8,100,0.012619147832049094,0.02234780059398543,0.022639683251318377,0.01759167681508038,0.026391749534480088,0.0285368359848851,1.0
15,100,0.01492569780741948,0.028642958735205042,0.028039043833235577,0.02315592055916752,0.03456726168694968,0.04164793150077073,1.0
