a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail_mean,mean_over_15_subsets,3,0.0005971214687329486,-0.00022037880691623082,0.0014765920191075945,0.921,2000
queryseq,patient,avail_mean,mean_over_15_subsets,3,0.0007479766947898471,-3.991053505064145e-05,0.0016035720289767372,0.9665,2000
queryseq,finding,avail_mean,mean_over_15_subsets,3,0.00046871270275929095,-0.00022819692215883498,0.0012321749731702522,0.9,2000
queryseq,label_id,avail_mean,mean_over_15_subsets,3,0.0007693406892323233,6.390072705881492e-05,0.001523383232998466,0.9825,2000
