a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail_mean,mean_over_15_subsets,3,-0.0019309594331330976,-0.005241485585446845,0.0012988273967983104,0.1365,2000
queryseq,patient,avail_mean,mean_over_15_subsets,3,-0.0023510205969626704,-0.006421077903639237,0.0018770453092756634,0.138,2000
queryseq,finding,avail_mean,mean_over_15_subsets,3,-0.00028411437015629697,-0.0050343728780212335,0.004644997517086747,0.4655,2000
queryseq,label_id,avail_mean,mean_over_15_subsets,3,-0.0022278942373686107,-0.005186342658658769,0.0007285123041657432,0.07,2000
