finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral edema,43,0.910242212567794,0.4649236960469587,queryseq,0,availability,FLAIRsag+SWIax,2,-1
Mastoiditis,22,0.6692099567099568,0.05060871232118111,queryseq,0,availability,FLAIRsag+SWIax,2,-1
Ventriculomegaly,64,0.8675203634085212,0.38284925337716524,queryseq,0,availability,FLAIRsag+SWIax,2,-1
Cerebellar degeneration,39,0.8134093528990248,0.24713315865436922,queryseq,0,availability,FLAIRsag+SWIax,2,-1
Mega cisterna magna,22,0.5700216450216451,0.03895531150070405,queryseq,0,availability,FLAIRsag+SWIax,2,-1
Cerebral infarction,26,0.8338240706661759,0.31821817214387865,queryseq,0,availability,FLAIRax+SWIax,2,-1
Cerebral hemorrhage,20,0.8739904988123515,0.15378337604910755,queryseq,0,availability,FLAIRax+SWIax,2,-1
Gliosis,284,0.7127905843364685,0.5663145308311708,queryseq,0,availability,FLAIRax+SWIax,2,-1
Cerebral atrophy,102,0.9331914344685243,0.7078703297997472,queryseq,0,availability,FLAIRax+SWIax,2,-1
Arachnoid cyst,43,0.7013090268904222,0.08648680046263771,queryseq,0,availability,FLAIRax+SWIax,2,-1
Empty sella syndrome,45,0.6307357541139671,0.11152249449269645,queryseq,0,availability,FLAIRax+SWIax,2,-1
Cyst of pineal gland,21,0.7680199309212388,0.07252038997761864,queryseq,0,availability,FLAIRax+SWIax,2,-1
Cerebral edema,43,0.9180793366839878,0.5111052114914791,queryseq,0,availability,FLAIRax+SWIax,2,-1
Mastoiditis,22,0.6547619047619048,0.05366834139817889,queryseq,0,availability,FLAIRax+SWIax,2,-1
Ventriculomegaly,64,0.8880795739348372,0.4033288311657407,queryseq,0,availability,FLAIRax+SWIax,2,-1
Cerebellar degeneration,39,0.8603607813814375,0.28657526029562574,queryseq,0,availability,FLAIRax+SWIax,2,-1
Mega cisterna magna,22,0.6432900432900432,0.05510971968638908,queryseq,0,availability,FLAIRax+SWIax,2,-1
Cerebral infarction,26,0.8323518586676482,0.2963498195647182,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.870249406175772,0.17587452395761974,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Gliosis,284,0.713868853257956,0.5755271180248489,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral atrophy,102,0.938390092879257,0.7303080121185095,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Arachnoid cyst,43,0.7167561121049493,0.13628026296284357,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Empty sella syndrome,45,0.6372909016727866,0.07817931125097848,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.7526753864447087,0.060819044952102136,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral edema,43,0.9142743561348213,0.5131006348819515,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
Mastoiditis,22,0.6821969696969696,0.054942877709418955,queryseq,0,availability,FLAIRax+FLAIRsag,2,-1
