delta,n_findings,n_kept,coverage,coverage_lo,coverage_hi,n_kept_seedvote,n_instances,n_kept_instances,mean_k,mean_test_delta,worst_test_delta,frac_k_le_two
0.005,12,9,0.75,0.4281415381218108,0.9451393554720072,10,36,27,4.333333333333333,0.0006769089804844254,-0.029774482045575132,0.08333333333333333
0.01,12,9,0.75,0.4281415381218108,0.9451393554720072,7,36,22,3.6666666666666665,-0.006034240656687897,-0.055139217797913864,0.25
0.02,12,7,0.5833333333333334,0.2766696856821058,0.8483477701915698,6,36,21,2.4166666666666665,-0.018421210951481453,-0.07450353242455372,0.4166666666666667
