a,b,delta,ci_lo,ci_hi,p_sign,axis,condition
queryseq,finding,-0.00035173914665923993,-0.0013637071695815433,0.0006454159597858347,0.34826666666666667,avail_mean,mean_over_15_subsets
queryseq,label_id,-0.0003914529284193595,-0.0012711128899609149,0.00048325522737854604,0.3169333333333333,avail_mean,mean_over_15_subsets
queryseq,patient,-0.0005140718435480291,-0.001447454483611322,0.00041644372046607743,0.2363111111111111,avail_mean,mean_over_15_subsets
queryseq,uniform,-0.00011603273928732971,-0.0011687431067950995,0.0009412252711832142,0.4632,avail_mean,mean_over_15_subsets
