seed,variant,macro_auroc,worst_auroc,mean_gate,routing_entropy
0,para:name,0.7792509053370007,0.5941558441558441,0.30209675431251526,1.5349971055984497
0,para:term,0.7797106176976923,0.5912688698490411,0.31059199571609497,1.5392439365386963
0,para:sentence,0.7851210657128106,0.6022186147186147,0.3340829610824585,1.5503504276275635
0,para:question,0.7662804064074678,0.586038961038961,0.28652307391166687,1.5444163084030151
0,para:definition,0.7646642986790866,0.60062559499524,0.31358224153518677,1.5517009496688843
0,shuffled,0.6078510373284693,0.32467888471177947,0.3340829312801361,1.550350308418274
0,counterfactual,0.6968620002173459,0.44238718079383954,0.3340829312801361,1.550350308418274
1,para:name,0.7801655508636541,0.5852849177206583,0.29819366335868835,1.4961696863174438
1,para:term,0.7787273252585507,0.5590371277029784,0.3111978769302368,1.4988912343978882
1,para:sentence,0.7817848039729435,0.6002719978240174,0.32933154702186584,1.525482416152954
1,para:question,0.7592552924358155,0.570508658008658,0.28741976618766785,1.5258111953735352
1,para:definition,0.7612220003530221,0.550577995376037,0.29090753197669983,1.5176959037780762
1,shuffled,0.6723495406472265,0.31096766887492217,0.32933154702186584,1.5254825353622437
1,counterfactual,0.5400554798431312,0.2612232779097387,0.32933154702186584,1.5254822969436646
2,para:name,0.7814675867689206,0.601359989120087,0.2975338101387024,1.5440680980682373
2,para:term,0.7822797186146316,0.5811233510131919,0.30707505345344543,1.5490230321884155
2,para:sentence,0.7873417573272352,0.6249422004623963,0.3367539346218109,1.5558818578720093
2,para:question,0.7698064068804488,0.6106079151366788,0.33488062024116516,1.5596303939819336
2,para:definition,0.7616029637470662,0.54921800625595,0.29472631216049194,1.552381157875061
2,shuffled,0.6284123231117416,0.26663269350546404,0.3367539644241333,1.5558819770812988
2,counterfactual,0.6732563896392656,0.2632422802850356,0.3367539346218109,1.5558818578720093
