finding,n_pos,pair,context,synergy,synergy_sd_seed
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRax,T2ax,0.00041002122183061057,0.001163629721691902
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRax,FLAIRsag,0.00748386566244393,0.0016361964891581035
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRax,T2ax+FLAIRsag,0.002973533147468954,0.0017771900394794858
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRsag,none,-0.36283965331732265,0.00288463965583836
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRsag,T2ax,-0.00935930283017187,0.0017741315927597588
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRsag,FLAIRax,0.0010254245852232187,0.004425696371399321
Metastatic malignant neoplasm to brain,373,T1ax|FLAIRsag,T2ax+FLAIRax,-0.006795790904533527,0.0009143437009038912
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRax,none,-0.3767514450065291,0.0030715236121501305
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRax,T1ax,-0.019960211544596523,0.0012708280474432896
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRax,FLAIRsag,0.00015673639553840749,0.003088585251958667
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRax,T1ax+FLAIRsag,-0.004353596119436569,0.0012338158529782309
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRsag,none,-0.36487945564320373,0.003139476936457207
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRsag,T1ax,-0.011399105156052913,0.002071512155466754
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRsag,FLAIRax,0.012028725758863787,0.004141487135152259
Metastatic malignant neoplasm to brain,373,T2ax|FLAIRsag,T1ax+FLAIRax,0.00420751026910704,0.0008597420012117335
Metastatic malignant neoplasm to brain,373,FLAIRax|FLAIRsag,none,-0.3803945754544067,0.0022541830280929072
Metastatic malignant neoplasm to brain,373,FLAIRax|FLAIRsag,T1ax,-0.016529497551860766,0.002002404303302006
Metastatic malignant neoplasm to brain,373,FLAIRax|FLAIRsag,T2ax,-0.0034863940523391554,0.0010692808085326169
Metastatic malignant neoplasm to brain,373,FLAIRax|FLAIRsag,T1ax+T2ax,-0.0009228821267008117,0.0014529630962896315
Intracranial meningioma,181,T1ax|T2ax,none,-0.1963285137729713,0.004657788030330655
Intracranial meningioma,181,T1ax|T2ax,FLAIRax,0.004489200170487817,0.007863578733916778
Intracranial meningioma,181,T1ax|T2ax,FLAIRsag,-9.675905156947273e-05,0.002834600488758161
Intracranial meningioma,181,T1ax|T2ax,FLAIRax+FLAIRsag,0.003777401403725955,0.001462791183171195
Intracranial meningioma,181,T1ax|FLAIRax,none,-0.19959603095969783,0.006383335133694396
Intracranial meningioma,181,T1ax|FLAIRax,T2ax,0.001221682983761278,0.00799274974835279
Intracranial meningioma,181,T1ax|FLAIRax,FLAIRsag,-0.010359016064401594,0.0020577956413163527
Intracranial meningioma,181,T1ax|FLAIRax,T2ax+FLAIRsag,-0.006484855609106166,0.003150618523355655
Intracranial meningioma,181,T1ax|FLAIRsag,none,-0.19121927600239574,0.0059270269304328126
Intracranial meningioma,181,T1ax|FLAIRsag,T2ax,0.005012478719006082,0.005826937296045163
Intracranial meningioma,181,T1ax|FLAIRsag,FLAIRax,-0.0019822611070994998,0.002808826866704417
Intracranial meningioma,181,T1ax|FLAIRsag,T2ax+FLAIRax,-0.0026940598738613617,0.006583768800054948
Intracranial meningioma,181,T2ax|FLAIRax,none,-0.20612656723674536,0.011586783801521502
Intracranial meningioma,181,T2ax|FLAIRax,T1ax,-0.005308853293286231,0.008023010696955048
Intracranial meningioma,181,T2ax|FLAIRax,FLAIRsag,-0.005683594702721839,0.0060374913771792495
