model,n,n_findings,macro_auroc,null_median,null_p95,null_max,n_perms,n_strata,pooled_rows
mask,27266,37,0.6026167603667516,,,,,,
site,27266,37,0.6732648685399271,,,,,,
site+mask,27266,37,0.680425855949776,,,,,,
mask|Siemens,15381,36,0.6043729010227128,,,,,,
mask-perm-within-vendor,27266,37,0.5499457040153313,0.5496821857833842,0.5547430757315702,0.5577158144831741,100.0,3.0,0.0
mask-perm-within-site,27266,37,0.5939724154350329,0.5939486368790314,0.5977118769477636,0.5997509636655644,100.0,19.0,42.0
