seed,variant,macro_auroc,worst_auroc,mean_gate,routing_entropy
0,para:name,0.7897080888988605,0.5460655416012559,0.2809726595878601,1.2794345617294312
0,para:term,0.798877570613299,0.6617536497945624,0.2882286310195923,1.2930699586868286
0,para:sentence,0.8020402090638431,0.6646133604449493,0.29737281799316406,1.303036093711853
0,para:question,0.7634758976477133,0.4903713892709767,0.3702470064163208,1.3303409814834595
0,para:definition,0.7614041930433559,0.5377093144950287,0.2476724088191986,1.2534983158111572
0,shuffled,0.6727939846506618,0.5125279312183115,0.29737284779548645,1.3030363321304321
0,counterfactual,0.7119984489010894,0.3791208791208791,0.29737281799316406,1.3030363321304321
1,para:name,0.7785384908757484,0.499738356881214,0.3445345163345337,1.3178375959396362
1,para:term,0.7906077428954995,0.6495424914777824,0.3574073016643524,1.3262622356414795
1,para:sentence,0.7972453975581874,0.6536989414508702,0.38684937357902527,1.334863305091858
1,para:question,0.7599582568819635,0.46815381855152205,0.362396776676178,1.3353664875030518
1,para:definition,0.7529676514988707,0.5059196755625326,0.3197961747646332,1.3172948360443115
1,shuffled,0.6769814060677942,0.3175206611570248,0.38684937357902527,1.334863305091858
1,counterfactual,0.689189174674624,0.5370802591598484,0.38684937357902527,1.3348634243011475
2,para:name,0.780527167503526,0.45081109366823646,0.2718466818332672,1.2548753023147583
2,para:term,0.7913589035530872,0.6495617477760335,0.27639225125312805,1.2688196897506714
2,para:sentence,0.7961479662877355,0.6627093144950288,0.29272356629371643,1.2866216897964478
2,para:question,0.7558175966433219,0.4962715855572998,0.2937447428703308,1.2928645610809326
2,para:definition,0.7566314144866254,0.49378597592883305,0.255810409784317,1.2277824878692627
2,shuffled,0.7166447995347577,0.4519348383276496,0.29272356629371643,1.2866218090057373
2,counterfactual,0.690486626876456,0.34288330716902143,0.29272356629371643,1.2866218090057373
