seed,lattice,n_candidates,frac_patients,n_studies,rep,naive,crossfit,optimism
0,real,2,0.1,1256,0,0.7595761591434371,0.7250843863534256,0.03449177279001148
0,null,2,0.1,1256,0,0.5609405821631779,0.5025021421677647,0.058438439995413205
0,real,2,0.1,1236,1,0.7816556213916813,0.7520072454941129,0.029648375897568413
0,null,2,0.1,1236,1,0.5249154041175174,0.4862949735345162,0.038620430583001186
0,real,2,0.1,1230,2,0.8198251425429547,0.7647195680261166,0.05510557451683806
0,null,2,0.1,1230,2,0.5498504868903529,0.5094073415534058,0.04044314533694704
0,real,2,0.1,1244,3,0.8007542408116728,0.7757461752324005,0.025008065579272265
0,null,2,0.1,1244,3,0.5404094246386294,0.5062429759404954,0.03416644869813401
0,real,2,0.1,1229,4,0.7931025220408281,0.7653808179266655,0.027721704114162637
0,null,2,0.1,1229,4,0.48314644602658735,0.4712573336086288,0.011889112417958536
0,real,2,0.1,1259,5,0.7889369980592709,0.7470897412822964,0.04184725677697443
0,null,2,0.1,1259,5,0.5313839717822026,0.4983370689287028,0.03304690285349987
0,real,2,0.25,3115,0,0.7680642981498499,0.7510186732601871,0.01704562488966277
0,null,2,0.25,3115,0,0.5275043250400598,0.5129927463677016,0.014511578672358194
0,real,2,0.25,3078,1,0.77478414210423,0.7644153309017077,0.01036881120252231
0,null,2,0.25,3078,1,0.5239989260016165,0.5084854987904251,0.01551342721119131
0,real,2,0.25,3094,2,0.7851588342943651,0.7730614430215847,0.012097391272780311
0,null,2,0.25,3094,2,0.5207895079283528,0.5017318071951107,0.01905770073324209
0,real,2,0.25,3102,3,0.7932114307356135,0.7854416106603197,0.00776982007529381
0,null,2,0.25,3102,3,0.5130309936629153,0.49682547299465163,0.01620552066826364
0,real,2,0.25,3084,4,0.776943105368107,0.7569181738152941,0.02002493155281282
0,null,2,0.25,3084,4,0.5222943966684845,0.49817069140777354,0.024123705260711004
0,real,2,0.25,3133,5,0.7754693932823928,0.7560129916054664,0.019456401676926416
0,null,2,0.25,3133,5,0.5115359109871489,0.4920533891438126,0.01948252184333632
0,real,2,0.5,6209,0,0.7696991008561613,0.7584890269539678,0.01121007390219353
