delta,n_findings,n_kept,coverage,coverage_lo,coverage_hi,mean_k,mean_test_delta,worst_test_delta,frac_k_le_two
0.005,15,13,0.8666666666666667,0.5953973033966279,0.9566879948941633,3.3333333333333335,-0.002666113250190069,-0.015360686204588732,0.3333333333333333
0.01,15,13,0.8666666666666667,0.5953973033966279,0.9566879948941633,2.933333333333333,-0.003647548197345257,-0.018845565238216302,0.3333333333333333
0.02,15,12,0.8,0.5191088661931469,0.9221284537089564,2.1333333333333333,-0.010515851922864576,-0.035849793949049996,0.5333333333333333
