C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,SWIax,00001,1,Cerebral infarction,0,424,9393,0.7643510561535856,0.18388310808704902
0.1,0,SWIax,00001,1,Cerebral hemorrhage,1,294,9393,0.820857192200982,0.19211483821450798
0.1,0,SWIax,00001,1,Metastatic malignant neoplasm to brain,2,373,9393,0.8728485403303948,0.27268635825357
0.1,0,SWIax,00001,1,Intracranial meningioma,3,181,9393,0.7058796717229269,0.051459543073844406
0.1,0,SWIax,00001,1,Demyelinating disease of central nervous system,4,250,9393,0.7710239527507383,0.12742502015664914
0.1,0,SWIax,00001,1,Herniation of nucleus pulposus,5,138,9393,0.6932531573219334,0.027996564061178862
0.1,0,SWIax,00001,1,Spinal cord compression,6,74,9393,0.5879183185761145,0.010630458120877742
0.1,0,SWIax,00001,1,Lacunar infarct,7,213,9393,0.79253838207166,0.1320626897778949
0.1,0,SWIax,00001,1,Silent micro-hemorrhage of brain,8,195,9393,0.7812389538416936,0.11067835294706575
0.1,0,SWIax,00001,1,Cavernous hemangioma,9,78,9393,0.6433929284170831,0.02047065375455384
0.1,0,SWIax,00001,1,Subdural intracranial hemorrhage,10,44,9393,0.8447354602825776,0.05969506902347619
0.1,0,SWIax,00001,1,Gliosis,11,3534,9393,0.7637318186590691,0.6586894331206183
0.1,0,SWIax,00001,1,Cerebral atrophy,12,1310,9393,0.9048432626008973,0.6676625069556962
0.1,0,SWIax,00001,1,Encephalomalacia,13,236,9393,0.7354593966271983,0.0907245829049592
0.1,0,SWIax,00001,1,Arachnoid cyst,14,389,9393,0.6819294252540146,0.08646860569981502
0.1,0,SWIax,00001,1,Empty sella syndrome,15,351,9393,0.6364940817495561,0.07073291119396459
0.1,0,SWIax,00001,1,Intracranial aneurysm,16,61,9393,0.6004335513972723,0.01453744747182003
0.1,0,SWIax,00001,1,Chiari malformation,17,56,9393,0.6822912682262581,0.022504031305519208
0.1,0,SWIax,00001,1,Schwannoma,18,38,9393,0.606475568933022,0.005709857907087862
0.1,0,SWIax,00001,1,Cyst of pineal gland,19,103,9393,0.596356871884373,0.01603824823662598
0.1,0,SWIax,00001,1,Hemangioma of vertebral column,20,31,9393,0.6472114450317344,0.007686595851226333
0.1,0,SWIax,00001,1,Cerebral edema,22,533,9393,0.878801155349633,0.4575507081853449
0.1,0,SWIax,00001,1,Spinal stenosis,23,43,9393,0.6909861957467976,0.009029104071966885
0.1,0,SWIax,00001,1,Mastoiditis,24,265,9393,0.6588047558414498,0.05708115559424838
0.1,0,SWIax,00001,1,Chronic mastoiditis,25,211,9393,0.7643656298486324,0.08017557612283756
0.1,0,SWIax,00001,1,Ventriculomegaly,26,889,9393,0.8752173264325026,0.5154314230626535
0.1,0,SWIax,00001,1,Cerebellar degeneration,27,351,9393,0.7701618468041826,0.13637550031158577
0.1,0,SWIax,00001,1,Mega cisterna magna,28,104,9393,0.6392828159030118,0.02289298072641181
0.1,0,SWIax,00001,1,Structure of cave of septum pellucidum,29,99,9393,0.5549719271475242,0.030594951946523924
0.1,0,SWIax,00001,1,Hyperostosis of skull,30,34,9393,0.7038647919900944,0.01600403555471149
0.1,0,SWIax,00001,1,Watershed infarct,31,36,9393,0.8197101397646442,0.020723272505947
0.1,0,SWIax,00001,1,Foraminal Spinal Stenosis,33,60,9393,0.6820172149005321,0.01221694357529333
0.1,0,SWIax,00001,1,Lipoma of brain,34,22,9393,0.5293021992413733,0.002517018398873134
0.1,0,SWIax,00001,1,Glioma,35,66,9393,0.7637910140322492,0.037586244244890224
0.1,0,SWIax,00001,1,Pituitary adenoma,36,25,9393,0.5648292058070026,0.009810008953641352
0.1,0,FLAIRsag,00010,1,Cerebral infarction,0,424,9393,0.7916678938145436,0.20442592133066423
0.1,0,FLAIRsag,00010,1,Cerebral hemorrhage,1,294,9393,0.8012131108075717,0.16992604726479496
0.1,0,FLAIRsag,00010,1,Metastatic malignant neoplasm to brain,2,373,9393,0.8932119864703398,0.27922898942308333
0.1,0,FLAIRsag,00010,1,Intracranial meningioma,3,181,9393,0.7076333295749239,0.04414497842462173
0.1,0,FLAIRsag,00010,1,Demyelinating disease of central nervous system,4,250,9393,0.7763911188887674,0.1626821154572727
0.1,0,FLAIRsag,00010,1,Herniation of nucleus pulposus,5,138,9393,0.743036666431776,0.038437962549865465
0.1,0,FLAIRsag,00010,1,Spinal cord compression,6,74,9393,0.6459413056150903,0.014496515701930307
0.1,0,FLAIRsag,00010,1,Lacunar infarct,7,213,9393,0.8140594474618225,0.11198144159913773
0.1,0,FLAIRsag,00010,1,Silent micro-hemorrhage of brain,8,195,9393,0.7428281510473291,0.06499216696501393
0.1,0,FLAIRsag,00010,1,Cavernous hemangioma,9,78,9393,0.5440852223460919,0.009683325282961373
0.1,0,FLAIRsag,00010,1,Subdural intracranial hemorrhage,10,44,9393,0.8998094108266319,0.07687634540538334
0.1,0,FLAIRsag,00010,1,Gliosis,11,3534,9393,0.7736523932098718,0.6624242720721233
0.1,0,FLAIRsag,00010,1,Cerebral atrophy,12,1310,9393,0.9190195613638272,0.7201764557028709
0.1,0,FLAIRsag,00010,1,Encephalomalacia,13,236,9393,0.7850662547685108,0.12868186508983387
0.1,0,FLAIRsag,00010,1,Arachnoid cyst,14,389,9393,0.6734002254353678,0.09256181835290177
0.1,0,FLAIRsag,00010,1,Empty sella syndrome,15,351,9393,0.6822933307118223,0.07888040769188231
0.1,0,FLAIRsag,00010,1,Intracranial aneurysm,16,61,9393,0.6298915067492077,0.012724155800306804
0.1,0,FLAIRsag,00010,1,Chiari malformation,17,56,9393,0.6506391621658838,0.012006740359008724
0.1,0,FLAIRsag,00010,1,Schwannoma,18,38,9393,0.6920672874061155,0.007813707582490493
0.1,0,FLAIRsag,00010,1,Cyst of pineal gland,19,103,9393,0.6233114216142214,0.01762834817392597
0.1,0,FLAIRsag,00010,1,Hemangioma of vertebral column,20,31,9393,0.5109467924554305,0.0037534996414192593
0.1,0,FLAIRsag,00010,1,Cerebral edema,22,533,9393,0.883454952799224,0.4690881767014418
0.1,0,FLAIRsag,00010,1,Spinal stenosis,23,43,9393,0.6294018156945653,0.01216894985807732
0.1,0,FLAIRsag,00010,1,Mastoiditis,24,265,9393,0.6868871231789394,0.06714492622964888
0.1,0,FLAIRsag,00010,1,Chronic mastoiditis,25,211,9393,0.7173880278847652,0.06629270846986042
0.1,0,FLAIRsag,00010,1,Ventriculomegaly,26,889,9393,0.8957547404410761,0.5655984450640313
0.1,0,FLAIRsag,00010,1,Cerebellar degeneration,27,351,9393,0.7973886976320066,0.16490476246553282
0.1,0,FLAIRsag,00010,1,Mega cisterna magna,28,104,9393,0.7137577945791963,0.03780047446946144
0.1,0,FLAIRsag,00010,1,Structure of cave of septum pellucidum,29,99,9393,0.6279330859705295,0.019829332574098087
0.1,0,FLAIRsag,00010,1,Hyperostosis of skull,30,34,9393,0.8060658818501223,0.021075514326688465
0.1,0,FLAIRsag,00010,1,Watershed infarct,31,36,9393,0.8331077149608731,0.019135580706299428
0.1,0,FLAIRsag,00010,1,Foraminal Spinal Stenosis,33,60,9393,0.7379888567448838,0.013799111450330772
0.1,0,FLAIRsag,00010,1,Lipoma of brain,34,22,9393,0.5907587237221215,0.011373340732412505
0.1,0,FLAIRsag,00010,1,Glioma,35,66,9393,0.7626977396999912,0.030711460182802918
0.1,0,FLAIRsag,00010,1,Pituitary adenoma,36,25,9393,0.5932365499573015,0.0039375259633407204
0.1,0,FLAIRax,00100,1,Cerebral infarction,0,424,9393,0.813349493117804,0.22401229341945977
0.1,0,FLAIRax,00100,1,Cerebral hemorrhage,1,294,9393,0.822779732840493,0.1848151813003521
0.1,0,FLAIRax,00100,1,Metastatic malignant neoplasm to brain,2,373,9393,0.8869045849854064,0.29321569421928656
0.1,0,FLAIRax,00100,1,Intracranial meningioma,3,181,9393,0.719248613986561,0.06328693764114507
0.1,0,FLAIRax,00100,1,Demyelinating disease of central nervous system,4,250,9393,0.8251234824455869,0.2572476645976045
0.1,0,FLAIRax,00100,1,Herniation of nucleus pulposus,5,138,9393,0.6924905456509994,0.028473344246769474
0.1,0,FLAIRax,00100,1,Spinal cord compression,6,74,9393,0.5665365440555911,0.01024204199344874
0.1,0,FLAIRax,00100,1,Lacunar infarct,7,213,9393,0.813995008540714,0.14317509798707204
0.1,0,FLAIRax,00100,1,Silent micro-hemorrhage of brain,8,195,9393,0.7081199368870603,0.05745041758609307
0.1,0,FLAIRax,00100,1,Cavernous hemangioma,9,78,9393,0.46054612769588615,0.00800179010422417
0.1,0,FLAIRax,00100,1,Subdural intracranial hemorrhage,10,44,9393,0.7986926166143195,0.08779005714907442
0.1,0,FLAIRax,00100,1,Gliosis,11,3534,9393,0.7801364512757981,0.6834619887012534
0.1,0,FLAIRax,00100,1,Cerebral atrophy,12,1310,9393,0.9203327500087357,0.7179981390105653
0.1,0,FLAIRax,00100,1,Encephalomalacia,13,236,9393,0.763328693617738,0.1260180014447704
0.1,0,FLAIRax,00100,1,Arachnoid cyst,14,389,9393,0.7248286679784706,0.11237461444138927
0.1,0,FLAIRax,00100,1,Empty sella syndrome,15,351,9393,0.708066692251607,0.09708158392502131
0.1,0,FLAIRax,00100,1,Intracranial aneurysm,16,61,9393,0.6396903304687555,0.01915549719464079
0.1,0,FLAIRax,00100,1,Chiari malformation,17,56,9393,0.76536322465154,0.022745177642086
0.1,0,FLAIRax,00100,1,Schwannoma,18,38,9393,0.7514951194126418,0.010864124553077913
0.1,0,FLAIRax,00100,1,Cyst of pineal gland,19,103,9393,0.5956242749798822,0.01445713694516752
0.1,0,FLAIRax,00100,1,Hemangioma of vertebral column,20,31,9393,0.519588452977376,0.003660927614796852
0.1,0,FLAIRax,00100,1,Cerebral edema,22,533,9393,0.9022863471385191,0.5190992326657192
0.1,0,FLAIRax,00100,1,Spinal stenosis,23,43,9393,0.6297923143887577,0.01062629446730631
