mode,tau,beta,seed,val,macro_full,macro_avg_subset,macro_worst_subset,macro_k1,worst_k1,macro_k2,worst_k2,gate_mean,gate_spread_over_seq,gate_spread_over_findings,avg_inputs_read
queryseq,0.05,0.0,0,0.5,0.5,0.5,0.5,0.5185644104435958,0.32050533553890564,0.49928850694927734,0.31012617171029155,1.6437539272192256e-39,0.0,0.0,0.0
queryseq,0.05,0.0,1,0.7704024074044602,0.7753517400132769,0.7703672403982017,0.7483384218797743,0.7754418547733649,0.6043423930021868,0.7773244565239171,0.5957825679475164,0.9916079044342041,0.004581033252179623,0.04244690388441086,3.9664220754268147
queryseq,0.05,0.02,0,0.5,0.5,0.5,0.5,0.49193645951798676,0.38699685381596444,0.4941596411098956,0.37233628490804704,9.305609438274441e-38,0.0,0.0,0.0
queryseq,0.05,0.02,1,0.5,0.5,0.5,0.5,0.5175987947103057,0.41867383069828723,0.5016825912272828,0.3823596014492754,4.303139610165266e-37,0.0,0.0,0.0
queryseq,0.1,0.0,0,0.7807902067562558,0.796347269391727,0.7914555308077994,0.7783577689044369,0.7853156735195841,0.6368040188983912,0.7915305290061291,0.6510974224029664,0.9983595609664917,0.0015517208958044648,0.005346645601093769,3.994931288770151
queryseq,0.1,0.0,1,0.7833420396435242,0.7887830860742167,0.7853838775513485,0.7783429086297475,0.7778182330879508,0.5943767572633553,0.7858753549724632,0.6281070120355835,0.9684500098228455,0.024824347347021103,0.10766449570655823,3.8840417939944007
queryseq,0.1,0.02,0,0.5,0.5,0.5,0.5,0.5025703131522244,0.31949174532126756,0.5081974104062629,0.3044987188219649,1.6405775836868392e-17,4.270503132810686e-18,6.216321860340107e-17,0.0
queryseq,0.1,0.02,1,0.5,0.5,0.5,0.5,0.6003092988223802,0.4908097854526426,0.6041696068639232,0.47154631083202514,0.009816018864512444,0.0036019119434058666,0.042374949902296066,0.0012809017548354041
queryseq,0.25,0.0,0,0.7838085820839175,0.7971290646408095,0.7918779333203597,0.7761661062050096,0.7883392437484947,0.6313019556246636,0.7934317568398945,0.638807487590455,0.7524318695068359,0.10038366168737411,0.2745744287967682,3.0555362403703636
queryseq,0.25,0.0,1,0.7812753084144064,0.7895474292205391,0.7850610644198566,0.7734891195566697,0.7832268975282819,0.6083723836301156,0.7878347037143217,0.6104654795376445,0.7335125207901001,0.11814751476049423,0.28361964225769043,2.965250965250965
queryseq,0.25,0.02,0,0.7801825684124831,0.7942933194687751,0.7900627329111405,0.7747710103355999,0.7869373578910069,0.5850726631182345,0.794598505431302,0.6203277315950002,0.002679277677088976,0.0024661736097186804,0.004204017575830221,0.0003110761404600267
queryseq,0.25,0.02,1,0.7811257531818848,0.7938214305686311,0.7878248721279448,0.7704276463548647,0.7916165710258426,0.6650020931762455,0.7897796217658366,0.6596794450092698,0.004865550901740789,0.0044201393611729145,0.007115066982805729,0.0023605189481966733
queryseq,1.0,0.0,0,0.7858152505589312,0.8020402090638431,0.7963109038144961,0.7851269596097568,0.7914397277990427,0.6769930028108366,0.8004003098098047,0.6683810776867412,0.29737281799316406,0.10716115683317184,0.14508484303951263,0.8286153452030229
