a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,n_reps
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0008683733593986306,-0.00012456068894209002,0.0019471207482610997,0.9555,2000
queryseq,uniform,budget,2,3,0.007149416743873708,-0.005006944138954329,0.018231216450713586,0.8855,2000
queryseq,patient,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0006987724374384113,-0.000311286838452097,0.0017602309527269433,0.916,2000
queryseq,patient,budget,2,3,0.004053163903534592,0.0004256487483143665,0.0075278529394816815,0.9825,2000
queryseq,finding,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0006476007088421653,-0.0002497817367986904,0.0016310143707398022,0.924,2000
queryseq,finding,budget,2,3,-0.0002537463036732986,-0.008136290165962156,0.007022197829162212,0.489,2000
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+FLAIRsag+SWIax,3,0.0009315902176640973,8.309699301857211e-05,0.0018287336085440946,0.9855,2000
queryseq,label_id,budget,2,3,0.002053724042845657,-0.002445089682872405,0.006396252427084429,0.836,2000
