finding,n_pos,n,auroc,auprc
Cerebral infarction,1006,27266,0.5621201768823465,0.04531884999710704
Cerebral hemorrhage,544,27266,0.6625478235602302,0.03093806051636722
Metastatic malignant neoplasm to brain,721,27266,0.7139777035777051,0.05115395896339268
Intracranial meningioma,470,27266,0.5663016550580747,0.02275506546193278
Demyelinating disease of central nervous system,776,27266,0.6223067302191452,0.04956643519277908
Herniation of nucleus pulposus,289,27266,0.6938592954936752,0.020488142851471974
Spinal cord compression,161,27266,0.7015889438473111,0.014164161455877794
Lacunar infarct,537,27266,0.5310096030417168,0.022016610598958188
Silent micro-hemorrhage of brain,411,27266,0.666299460788111,0.02391170591106867
Cavernous hemangioma,174,27266,0.6050649468562634,0.008816853657061823
Subdural intracranial hemorrhage,88,27266,0.6482702001618956,0.005286029998828974
Gliosis,9510,27266,0.5402260434647586,0.3792323163695476
Cerebral atrophy,4126,27266,0.5420859289343334,0.17209015088887022
Encephalomalacia,670,27266,0.5346410244610905,0.02863661011661011
Arachnoid cyst,968,27266,0.5106389874100346,0.036631124681759476
Empty sella syndrome,1160,27266,0.5514072600564806,0.04723858667837566
Intracranial aneurysm,127,27266,0.5816798209741452,0.005773096261136419
Chiari malformation,133,27266,0.5437189239637996,0.0058257661112020446
Schwannoma,84,27266,0.5470488173195848,0.0033382219268566515
Cyst of pineal gland,447,27266,0.577715863565623,0.020149846788407505
Hemangioma of vertebral column,56,27266,0.726449375229695,0.005865040627375101
Rathke's pouch cyst,96,27266,0.623016539381671,0.004951151511606753
Cerebral edema,1098,27266,0.6457626467399386,0.05968447849964886
Spinal stenosis,93,27266,0.5824654375053668,0.004779316643797024
Mastoiditis,788,27266,0.599147223267051,0.043352063343058064
Chronic mastoiditis,577,27266,0.5965015348172769,0.028485501800984865
Ventriculomegaly,2935,27266,0.533145235671825,0.12036667411456067
Cerebellar degeneration,765,27266,0.6084812929737762,0.044783410051343425
Mega cisterna magna,384,27266,0.5925774856316494,0.019686215321377515
Structure of cave of septum pellucidum,370,27266,0.5472218816823963,0.015952063646942752
Hyperostosis of skull,146,27266,0.5737099446397543,0.007298432008331044
Watershed infarct,61,27266,0.6337859783489654,0.003102284652460781
Choroid plexus cyst,102,27266,0.6559804859950165,0.006721287848778597
Foraminal Spinal Stenosis,107,27266,0.7307828629809984,0.009504445230489916
Lipoma of brain,60,27266,0.5116481658457693,0.0025536590154368937
Glioma,148,27266,0.6240199239360313,0.008226946778465784
Pituitary adenoma,107,27266,0.5894930614556783,0.005067134430999361
