estimand,description,naive_or_oracle,crossfitted,optimism,n_seeds,n_candidates
policy_oracle_gap,seed-averaged oracle minus seed-averaged cross-fitted,0.7923971142585541,0.7821550669964058,0.01024204726214828,3,15
search_optimism,single-run naive best-of-K minus that run's cross-fitted,,,0.0126640601668729,3,15
search_optimism_seed0,"the single-run figure for seed 0, as quoted in the null table",,,0.01492569780741948,1,15
seed_averaging_reduction,how much averaging seeds before selecting shrinks the bias,,,0.002422012904724621,3,15
