finding,n_pos,pair,context,synergy,synergy_sd_seed
Metastatic malignant neoplasm to brain,50,T1ax|T2cor,none,-0.22975300652537348,0.0040471051366837586
Metastatic malignant neoplasm to brain,50,T1ax|T2cor,T2ax,0.00014641643746970967,0.002795573859273651
Metastatic malignant neoplasm to brain,50,T1ax|T2cor,FLAIRax,0.0010591597907565475,0.015384421164772209
Metastatic malignant neoplasm to brain,50,T1ax|T2cor,T2ax+FLAIRax,-0.0023677398479210465,0.0035915272150729566
Metastatic malignant neoplasm to brain,50,T2ax|FLAIRax,none,-0.2719791835193874,0.02987640501298861
Metastatic malignant neoplasm to brain,50,T2ax|FLAIRax,T1ax,-0.03572722860378574,0.01780173283453513
Metastatic malignant neoplasm to brain,50,T2ax|FLAIRax,T2cor,-0.03172086501644822,0.01336825925674237
Metastatic malignant neoplasm to brain,50,T2ax|FLAIRax,T1ax+T2cor,-0.02879523270236739,0.006359157746347585
Metastatic malignant neoplasm to brain,50,T2ax|T2cor,none,-0.216590896834385,0.022120879117370904
Metastatic malignant neoplasm to brain,50,T2ax|T2cor,T1ax,0.013308526128458195,0.016769838874553876
Metastatic malignant neoplasm to brain,50,T2ax|T2cor,FLAIRax,0.02366742166855414,0.012540793542906756
Metastatic malignant neoplasm to brain,50,T2ax|T2cor,T1ax+FLAIRax,0.020240522029876546,0.004346865218185718
Metastatic malignant neoplasm to brain,50,FLAIRax|T2cor,none,-0.2800008089305937,0.014608362464728524
Metastatic malignant neoplasm to brain,50,FLAIRax|T2cor,T1ax,-0.049188642614463686,0.01388950135198741
Metastatic malignant neoplasm to brain,50,FLAIRax|T2cor,T2ax,-0.03974249042765458,0.013560315338361948
Metastatic malignant neoplasm to brain,50,FLAIRax|T2cor,T1ax+T2ax,-0.04225664671304533,0.008757035324386823
Intracranial meningioma,148,T1ax|T2ax,none,-0.1644425124733344,0.004394023357559753
Intracranial meningioma,148,T1ax|T2ax,FLAIRax,-0.01475322558370514,0.0017648604161429034
Intracranial meningioma,148,T1ax|T2ax,T2cor,-0.0073858410759095605,0.005744978127399075
Intracranial meningioma,148,T1ax|T2ax,FLAIRax+T2cor,-0.010144960273384887,0.002460093693893958
Intracranial meningioma,148,T1ax|FLAIRax,none,-0.16284790171776467,0.01648295136124365
Intracranial meningioma,148,T1ax|FLAIRax,T2ax,-0.013158614828135407,0.010665356862534293
Intracranial meningioma,148,T1ax|FLAIRax,T2cor,-0.001072592896223079,0.00485028773758011
Intracranial meningioma,148,T1ax|FLAIRax,T2ax+T2cor,-0.0038317120936984064,0.006470345699075032
Intracranial meningioma,148,T1ax|T2cor,none,-0.17892026689115734,0.014271139232148164
Intracranial meningioma,148,T1ax|T2cor,T2ax,-0.021863595493732475,0.00505911036710707
Intracranial meningioma,148,T1ax|T2cor,FLAIRax,-0.017144958069615728,0.006458688348342936
Intracranial meningioma,148,T1ax|T2cor,T2ax+FLAIRax,-0.012536692759295476,0.004662862926568695
Intracranial meningioma,148,T2ax|FLAIRax,none,-0.14377189077531538,0.0035917096543936792
Intracranial meningioma,148,T2ax|FLAIRax,T1ax,0.005917396114313893,0.008879449950059112
Intracranial meningioma,148,T2ax|FLAIRax,T2cor,0.004235644646603605,0.005744612608732715
Intracranial meningioma,148,T2ax|FLAIRax,T1ax+T2cor,0.001476525449128278,0.00649406831362422
Intracranial meningioma,148,T2ax|T2cor,none,-0.14372579526689122,0.004179528043606168
Intracranial meningioma,148,T2ax|T2cor,T1ax,0.013330876130533631,0.011133529835680523
Intracranial meningioma,148,T2ax|T2cor,FLAIRax,0.004281740155027765,0.002666397118920067
Intracranial meningioma,148,T2ax|T2cor,T1ax+FLAIRax,0.008890005465348017,0.0025691971640951334
Intracranial meningioma,148,FLAIRax|T2cor,none,-0.16317552875772057,0.013263520491563716
Intracranial meningioma,148,FLAIRax|T2cor,T1ax,-0.0014002199361789665,0.015801287266185418
Intracranial meningioma,148,FLAIRax|T2cor,T2ax,-0.01516799333580158,0.006889141296527205
Intracranial meningioma,148,FLAIRax|T2cor,T1ax+T2ax,-0.005841090601364581,0.003569496274711745
Demyelinating disease of central nervous system,294,T1ax|T2ax,none,-0.24788998506372897,0.009090671105127828
Demyelinating disease of central nervous system,294,T1ax|T2ax,FLAIRax,-0.0001570909488293933,0.003268523567201253
Demyelinating disease of central nervous system,294,T1ax|T2ax,T2cor,0.00972878561118018,0.006723326610323262
Demyelinating disease of central nervous system,294,T1ax|T2ax,FLAIRax+T2cor,0.008039847396294672,0.002789229539899656
Demyelinating disease of central nervous system,294,T1ax|FLAIRax,none,-0.23107171019367756,0.007484877431912298
Demyelinating disease of central nervous system,294,T1ax|FLAIRax,T2ax,0.01666118392122203,0.0015134937870712722
Demyelinating disease of central nervous system,294,T1ax|FLAIRax,T2cor,0.012996820007642204,0.006868303065319091
Demyelinating disease of central nervous system,294,T1ax|FLAIRax,T2ax+T2cor,0.011307881792756694,0.0034132990384040255
Demyelinating disease of central nervous system,294,T1ax|T2cor,none,-0.26146506630379507,0.005771142647634391
Demyelinating disease of central nervous system,294,T1ax|T2cor,T2ax,-0.003846295628885906,0.005478944874138791
Demyelinating disease of central nervous system,294,T1ax|T2cor,FLAIRax,-0.017396536102475307,0.004800455945862361
Demyelinating disease of central nervous system,294,T1ax|T2cor,T2ax+FLAIRax,-0.009199597757351241,0.003952483651187911
Demyelinating disease of central nervous system,294,T2ax|FLAIRax,none,-0.3011665523336472,0.004414866013963444
Demyelinating disease of central nervous system,294,T2ax|FLAIRax,T1ax,-0.053433658218747605,0.006024069812906521
Demyelinating disease of central nervous system,294,T2ax|FLAIRax,T2cor,-0.023108368615642434,0.004259872678529987
Demyelinating disease of central nervous system,294,T2ax|FLAIRax,T1ax+T2cor,-0.024797306830527943,0.0018597504367542062
Demyelinating disease of central nervous system,294,T2ax|T2cor,none,-0.27581357954415736,0.004199020957176897
Demyelinating disease of central nervous system,294,T2ax|T2cor,T1ax,-0.01819480886924818,0.004234616424011671
Demyelinating disease of central nervous system,294,T2ax|T2cor,FLAIRax,0.00224460417384742,0.004803967908371749
Demyelinating disease of central nervous system,294,T2ax|T2cor,T1ax+FLAIRax,0.010441542518971484,0.002623699655876183
Demyelinating disease of central nervous system,294,FLAIRax|T2cor,none,-0.27799727471997754,0.0028620310337803315
Demyelinating disease of central nervous system,294,FLAIRax|T2cor,T1ax,-0.033928744518657794,0.003154347640156132
Demyelinating disease of central nervous system,294,FLAIRax|T2cor,T2ax,6.0908998027205584e-05,0.0038872816506413787
Demyelinating disease of central nervous system,294,FLAIRax|T2cor,T1ax+T2ax,-0.005292393130438129,0.002265380366591323
Herniation of nucleus pulposus,29,T1ax|T2ax,none,-0.12667858511994093,0.027617878355028855
Herniation of nucleus pulposus,29,T1ax|T2ax,FLAIRax,0.009020524059217236,0.021070639842534676
Herniation of nucleus pulposus,29,T1ax|T2ax,T2cor,-0.028390795315416623,0.019468814948845604
Herniation of nucleus pulposus,29,T1ax|T2ax,FLAIRax+T2cor,-0.005649662449724757,0.003942839170804165
Herniation of nucleus pulposus,29,T1ax|FLAIRax,none,-0.12777714348833816,0.006008758685986891
Herniation of nucleus pulposus,29,T1ax|FLAIRax,T2ax,0.007921965690820007,0.007531003711708533
Herniation of nucleus pulposus,29,T1ax|FLAIRax,T2cor,-0.02554113397956596,0.017916859078621155
Herniation of nucleus pulposus,29,T1ax|FLAIRax,T2ax+T2cor,-0.002800001113874092,0.00790594214007325
Herniation of nucleus pulposus,29,T1ax|T2cor,none,-0.05521474101033952,0.019501175657249514
Herniation of nucleus pulposus,29,T1ax|T2cor,T2ax,0.0430730487941848,0.009294336966673812
Herniation of nucleus pulposus,29,T1ax|T2cor,FLAIRax,0.04702126849843269,0.021657879669585992
Herniation of nucleus pulposus,29,T1ax|T2cor,T2ax+FLAIRax,0.032351081989490695,0.008211570199220392
Herniation of nucleus pulposus,29,T2ax|FLAIRax,none,-0.1531623350886132,0.015343119626594393
Herniation of nucleus pulposus,29,T2ax|FLAIRax,T1ax,-0.017463225909455038,0.014828364494975401
Herniation of nucleus pulposus,29,T2ax|FLAIRax,T2cor,-0.04103094620823322,0.009468459860897631
Herniation of nucleus pulposus,29,T2ax|FLAIRax,T1ax+T2cor,-0.018289813342541355,0.010843101501187193
Herniation of nucleus pulposus,29,T2ax|T2cor,none,-0.11140319366279872,0.005525972417982726
Herniation of nucleus pulposus,29,T2ax|T2cor,T1ax,-0.013115403858274402,0.012720993337031744
Herniation of nucleus pulposus,29,T2ax|T2cor,FLAIRax,0.0007281952175812734,0.015474083578352041
Herniation of nucleus pulposus,29,T2ax|T2cor,T1ax+FLAIRax,-0.01394199129136072,0.007136652385024762
Herniation of nucleus pulposus,29,FLAIRax|T2cor,none,-0.09116827760713837,0.02190611815063129
Herniation of nucleus pulposus,29,FLAIRax|T2cor,T1ax,0.01106773190163383,0.010399495313830246
Herniation of nucleus pulposus,29,FLAIRax|T2cor,T2ax,0.020963111273241613,0.0009436064246164782
Herniation of nucleus pulposus,29,FLAIRax|T2cor,T1ax+T2ax,0.010241144468547514,0.0052634767113703095
Spinal cord compression,22,T1ax|T2ax,none,-0.1377069728764644,0.01533278688709431
Spinal cord compression,22,T1ax|T2ax,FLAIRax,0.009194854110108397,0.012202167821749854
Spinal cord compression,22,T1ax|T2ax,T2cor,-0.005002812629931334,0.015065365049058593
Spinal cord compression,22,T1ax|T2ax,FLAIRax+T2cor,-0.001340279306380976,0.005670061204547076
Spinal cord compression,22,T1ax|FLAIRax,none,-0.11095152493457579,0.015035280709316529
Spinal cord compression,22,T1ax|FLAIRax,T2ax,0.03595030205199704,0.015236570060121343
Spinal cord compression,22,T1ax|FLAIRax,T2cor,0.009122092596668852,0.018618045394358903
Spinal cord compression,22,T1ax|FLAIRax,T2ax+T2cor,0.012784625920219228,0.0077223126918749925
Spinal cord compression,22,T1ax|T2cor,none,-0.11865690806368767,0.010851124616947351
Spinal cord compression,22,T1ax|T2cor,T2ax,0.014047252182845416,0.009914699866000864
Spinal cord compression,22,T1ax|T2cor,FLAIRax,0.001416709467556972,0.00841855904396791
Spinal cord compression,22,T1ax|T2cor,T2ax+FLAIRax,-0.0091184239489324,0.0008951287472300689
Spinal cord compression,22,T2ax|FLAIRax,none,-0.16707510944799087,0.023503584021586206
Spinal cord compression,22,T2ax|FLAIRax,T1ax,-0.020173282461418068,0.013736048666651039
Spinal cord compression,22,T2ax|FLAIRax,T2cor,-0.029961846063540982,0.03787143266594272
Spinal cord compression,22,T2ax|FLAIRax,T1ax+T2cor,-0.026299312739990643,0.019521503407491196
Spinal cord compression,22,T2ax|T2cor,none,-0.12078411230953605,0.011091936082915428
Spinal cord compression,22,T2ax|T2cor,T1ax,0.011920047936997044,0.010751093293413123
Spinal cord compression,22,T2ax|T2cor,FLAIRax,0.01632915107491384,0.013409754099597866
Spinal cord compression,22,T2ax|T2cor,T1ax+FLAIRax,0.005794017658424466,0.006055538886541237
Spinal cord compression,22,FLAIRax|T2cor,none,-0.08331254432949346,0.022978537066160962
Spinal cord compression,22,FLAIRax|T2cor,T1ax,0.036761073201751183,0.007907228777856415
Spinal cord compression,22,FLAIRax|T2cor,T2ax,0.053800719054956425,0.004643430884096568
Spinal cord compression,22,FLAIRax|T2cor,T1ax+T2ax,0.030635042923178608,0.010770103526510116
Lacunar infarct,189,T1ax|T2ax,none,-0.3328439705352083,0.005404553692441976
Lacunar infarct,189,T1ax|T2ax,FLAIRax,0.007703405887157751,0.004490014531735774
Lacunar infarct,189,T1ax|T2ax,T2cor,-0.012484270481488776,0.007514457725237024
Lacunar infarct,189,T1ax|T2ax,FLAIRax+T2cor,-0.0019446092968686084,0.0036927418648205913
Lacunar infarct,189,T1ax|FLAIRax,none,-0.34762564171601773,0.008500944347988645
Lacunar infarct,189,T1ax|FLAIRax,T2ax,-0.007078265293651668,0.0032775344630601995
Lacunar infarct,189,T1ax|FLAIRax,T2cor,-0.009709338842939452,0.005803158238664542
Lacunar infarct,189,T1ax|FLAIRax,T2ax+T2cor,0.0008303223416807152,0.0008190549529208123
Lacunar infarct,189,T1ax|T2cor,none,-0.33564552385627405,0.012903465695308989
Lacunar infarct,189,T1ax|T2cor,T2ax,-0.015285823802554535,0.004126356390910805
Lacunar infarct,189,T1ax|T2cor,FLAIRax,0.0022707790168042066,0.006617014551129779
Lacunar infarct,189,T1ax|T2cor,T2ax+FLAIRax,-0.0073772361672221525,0.0024697403304637273
Lacunar infarct,189,T2ax|FLAIRax,none,-0.339752621802855,0.002910378399765689
Lacunar infarct,189,T2ax|FLAIRax,T1ax,0.0007947546195111362,0.0035735650181709547
Lacunar infarct,189,T2ax|FLAIRax,T2cor,-0.009506105022754063,0.008251809353811302
Lacunar infarct,189,T2ax|FLAIRax,T1ax+T2cor,0.0010335561618661042,0.003458874319650411
Lacunar infarct,189,T2ax|T2cor,none,-0.3211461579429072,0.011941683099800494
Lacunar infarct,189,T2ax|T2cor,T1ax,-0.0007864578891876676,0.006920008855513917
Lacunar infarct,189,T2ax|T2cor,FLAIRax,0.00910035883719366,0.0038164994783499713
Lacunar infarct,189,T2ax|T2cor,T1ax+FLAIRax,-0.0005476563468326997,0.003360638701613309
Lacunar infarct,189,FLAIRax|T2cor,none,-0.3335298576237788,0.013349309714438028
Lacunar infarct,189,FLAIRax|T2cor,T1ax,0.004386445249299468,0.00921813920449958
Lacunar infarct,189,FLAIRax|T2cor,T2ax,-0.0032833408436779474,0.002645362432359529
