a,b,delta,ci_lo,ci_hi,p_sign,axis,condition
queryseq,finding,0.0011485912021869686,-0.0045826664602746725,0.006995405113925409,0.6596888888888889,avail_mean,mean_over_15_subsets
queryseq,label_id,0.002020825342853774,-0.0028111386199169016,0.006797600783953142,0.7332444444444445,avail_mean,mean_over_15_subsets
queryseq,patient,0.0005265269361644208,-0.004663984215552935,0.005871420862769161,0.5764444444444444,avail_mean,mean_over_15_subsets
queryseq,uniform,0.0019808594722807546,-0.004528687205250183,0.008595969186395538,0.6987111111111111,avail_mean,mean_over_15_subsets
