subset,k,finding,n_pos,auroc_mean,auroc_sd_seed,ci_lo,ci_hi
T2ax+T2cor,2,Intracranial meningioma,148,0.6722117175884299,0.011893220392663816,0.6434858605385613,0.7295301541149654
T2ax+T2cor,2,Demyelinating disease of central nervous system,294,0.8112202794965157,0.006445918140381407,0.7868350307759059,0.8434964519117518
T2ax+T2cor,2,Herniation of nucleus pulposus,29,0.545316112839163,0.010669318566608556,0.4093704997839826,0.649939969539879
T2ax+T2cor,2,Spinal cord compression,22,0.6475676865507374,0.01624851709938337,0.47049048502054114,0.7474178644916698
T2ax+T2cor,2,Lacunar infarct,189,0.8457984852623376,0.0015684952008660938,0.821595503778221,0.875938648328424
T2ax+T2cor,2,Silent micro-hemorrhage of brain,78,0.8376407928053785,0.010623653915988133,0.8136014120720246,0.8870808771756843
T2ax+T2cor,2,Cavernous hemangioma,67,0.561447722908342,0.004125214304860247,0.4689525074611934,0.6362428373559866
T2ax+T2cor,2,Subdural intracranial hemorrhage,26,0.7550434319972509,0.017520214519208176,0.6455538944614961,0.8552424462193596
T2ax+T2cor,2,Gliosis,3854,0.804424950354529,0.0008818731950986415,0.7957986983378733,0.8119250678419
T2ax+T2cor,2,Cerebral atrophy,2012,0.949424064586838,0.0006047456479992896,0.9439181723349171,0.9536022516345571
T2ax+T2cor,2,Encephalomalacia,248,0.814129941869716,0.00238094622642044,0.7849669389173765,0.8360914929496504
T2ax+T2cor,2,Arachnoid cyst,572,0.7012814852658602,0.003939564016374181,0.6794969389645701,0.7202501674732125
T2ax+T2cor,2,Empty sella syndrome,670,0.7697770939206201,0.002219420975951881,0.753657431707212,0.7891493941351645
T2ax+T2cor,2,Intracranial aneurysm,32,0.46799946149703825,0.05102086136786456,0.3404423538704901,0.5259409284056219
T2ax+T2cor,2,Chiari malformation,62,0.8280958599973881,0.00690113644507816,0.7677086122864246,0.8804280878525809
T2ax+T2cor,2,Cyst of pineal gland,244,0.6997572464549137,0.014030708144244751,0.6485054646676255,0.7066342277986674
T2ax+T2cor,2,Rathke's pouch cyst,47,0.6861396701396357,0.023767353685957778,0.5994823422594859,0.7269092198721404
T2ax+T2cor,2,Cerebral edema,187,0.8320944559270074,0.004428855754052454,0.793783499603075,0.8655412822391612
T2ax+T2cor,2,Spinal stenosis,26,0.7773261374504714,0.021700318086323864,0.6671342300510537,0.8534947185595402
T2ax+T2cor,2,Mastoiditis,281,0.7571704131831695,0.003842157764034622,0.7208816805123146,0.782815818355255
T2ax+T2cor,2,Chronic mastoiditis,360,0.7692888301926221,0.0033099041211660193,0.7484128425072679,0.7992320593297535
T2ax+T2cor,2,Ventriculomegaly,1204,0.9187811560600204,0.0016819936553239205,0.9117759749138092,0.9276953508137624
T2ax+T2cor,2,Cerebellar degeneration,318,0.8423862829914794,0.003269124973198561,0.8212848532320403,0.8690474448869456
T2ax+T2cor,2,Mega cisterna magna,225,0.818748514658911,0.006435549275116769,0.7970897061160496,0.8490924396652579
T2ax+T2cor,2,Structure of cave of septum pellucidum,238,0.7010596007747605,0.005516296942916344,0.6651660175171841,0.7309206352633145
T2ax+T2cor,2,Hyperostosis of skull,55,0.9195153771264479,0.0076376616544290045,0.8821909940460029,0.9329469829528622
T2ax+T2cor,2,Choroid plexus cyst,57,0.5547733829379871,0.013176980950403946,0.47489880989940203,0.6260644039701817
T2ax+T2cor,2,Lipoma of brain,34,0.6047509971834913,0.0179079747723172,0.48733743598900764,0.6760033141878687
T2ax+T2cor,2,Glioma,35,0.734300565180423,0.030108733832435598,0.6005579549788576,0.8208997992219944
T2ax+T2cor,2,Pituitary adenoma,57,0.6935244153821759,0.01185457028372558,0.6275446203187601,0.7516856277030657
T2ax+FLAIRax,2,Cerebral infarction,339,0.8504847314855605,0.004657881182216706,0.8224872548418912,0.864342507291696
T2ax+FLAIRax,2,Cerebral hemorrhage,92,0.7506633199228308,0.015154769224097985,0.6712231983187888,0.8130303829639722
T2ax+FLAIRax,2,Metastatic malignant neoplasm to brain,50,0.8081076416976757,0.016367694640386867,0.7055322501582412,0.8589618228315863
T2ax+FLAIRax,2,Intracranial meningioma,148,0.6685361058220648,0.013408694378645005,0.6212612794755951,0.7056026083778385
T2ax+FLAIRax,2,Demyelinating disease of central nervous system,294,0.8285730284852016,0.006856720294535377,0.8089324681440057,0.864975716628956
T2ax+FLAIRax,2,Herniation of nucleus pulposus,29,0.660716258199738,0.007895168543260719,0.5738122893247154,0.7718773749871144
T2ax+FLAIRax,2,Spinal cord compression,22,0.5335033140117885,0.022086786975816546,0.3537527858215238,0.6330593415568075
T2ax+FLAIRax,2,Lacunar infarct,189,0.8536413483644115,0.006934104797689403,0.8189013839996531,0.877249138970602
T2ax+FLAIRax,2,Silent micro-hemorrhage of brain,78,0.8488246997043819,0.00703064948158061,0.8177601472977912,0.8980876226859974
T2ax+FLAIRax,2,Cavernous hemangioma,67,0.5772609209924456,0.015392666588179234,0.4896333520452389,0.6640959855257281
T2ax+FLAIRax,2,Subdural intracranial hemorrhage,26,0.8185854997577909,0.02953537938435766,0.6781867268243561,0.9109781071655906
T2ax+FLAIRax,2,Gliosis,3854,0.8073594531796408,0.000727728965622197,0.7990695436176741,0.815737681460167
T2ax+FLAIRax,2,Cerebral atrophy,2012,0.949907693263496,0.00016190030807950795,0.9455251578885344,0.9545026493023475
T2ax+FLAIRax,2,Encephalomalacia,248,0.8018889690360768,0.00378484959891231,0.7766509908884687,0.8370089304818265
T2ax+FLAIRax,2,Arachnoid cyst,572,0.7027325292950293,0.003862656340704104,0.6739825071631288,0.7226724843953232
T2ax+FLAIRax,2,Empty sella syndrome,670,0.7734654948727662,0.004057729954674773,0.7499621513476703,0.7871524577699168
T2ax+FLAIRax,2,Intracranial aneurysm,32,0.6296959141087776,0.013982849012078604,0.5299261437376727,0.7210501627980999
T2ax+FLAIRax,2,Chiari malformation,62,0.8576805537416742,0.00879983205097393,0.8074560465561896,0.8862331733000799
T2ax+FLAIRax,2,Cyst of pineal gland,244,0.6768408829214314,0.011105970692669243,0.6326180688576013,0.6918258674050374
T2ax+FLAIRax,2,Rathke's pouch cyst,47,0.7136105399305407,0.028637493179022182,0.6307462567548695,0.7611325359088695
T2ax+FLAIRax,2,Cerebral edema,187,0.8501850697520131,0.0036395721717466536,0.8102770160804506,0.8875121022637424
T2ax+FLAIRax,2,Spinal stenosis,26,0.7958080256037627,0.01639970988800202,0.7456854248651099,0.8660765718051682
T2ax+FLAIRax,2,Mastoiditis,281,0.7509543650263977,0.0015269294897744207,0.7244742165758906,0.7770852500904272
T2ax+FLAIRax,2,Chronic mastoiditis,360,0.7689429524529507,0.005198033640372292,0.7511873343891853,0.7993477199293229
T2ax+FLAIRax,2,Ventriculomegaly,1204,0.9156345743192452,0.0010165933662592119,0.9069008552456786,0.9247934151054015
T2ax+FLAIRax,2,Cerebellar degeneration,318,0.8430679193972859,0.005242472557790553,0.8282215367275642,0.8743025460766239
T2ax+FLAIRax,2,Mega cisterna magna,225,0.8067344985093405,0.009354971017010454,0.7798715274869619,0.8385704601004937
T2ax+FLAIRax,2,Structure of cave of septum pellucidum,238,0.7205006858994624,0.0017591976682451312,0.6873637555389392,0.7559558510634866
T2ax+FLAIRax,2,Hyperostosis of skull,55,0.9039675708284595,0.017578771378692796,0.8436953318243909,0.92231342801831
T2ax+FLAIRax,2,Choroid plexus cyst,57,0.5945397014727565,0.011017753754196247,0.5243343224619333,0.6545207016349628
T2ax+FLAIRax,2,Lipoma of brain,34,0.6575767728322546,0.008597213240741695,0.5930780618167361,0.7425519281452704
T2ax+FLAIRax,2,Glioma,35,0.7804256743498885,0.007501343757709277,0.7118863767942615,0.8711352838266867
T2ax+FLAIRax,2,Pituitary adenoma,57,0.7233558400249916,0.017295840522194843,0.6640840451686932,0.7946021230101833
T1ax+T2cor,2,Cerebral infarction,339,0.8242932762111446,0.0012626073026439342,0.8039627662325409,0.8478377183718097
T1ax+T2cor,2,Cerebral hemorrhage,92,0.7430421254470168,0.01329150333128829,0.700137782571488,0.8139100999547042
T1ax+T2cor,2,Metastatic malignant neoplasm to brain,50,0.7108873968613493,0.023128463705379243,0.5991449351671091,0.776660422362987
T1ax+T2cor,2,Intracranial meningioma,148,0.6999553369416383,0.018819656125673614,0.6886979439294816,0.7600913768038112
T1ax+T2cor,2,Demyelinating disease of central nervous system,294,0.7309458690226379,0.005529627610722862,0.7061521844045028,0.7638163763750232
T1ax+T2cor,2,Herniation of nucleus pulposus,29,0.619517766756612,0.002340894610310163,0.500753632153418,0.7301239137026118
T1ax+T2cor,2,Spinal cord compression,22,0.5830655220485729,0.01692582833864083,0.4292892485158074,0.6936152195573632
T1ax+T2cor,2,Lacunar infarct,189,0.8375897724257374,0.0022553802534374247,0.8008117269954271,0.8646178524856694
T1ax+T2cor,2,Silent micro-hemorrhage of brain,78,0.8366415398197464,0.014733473726559056,0.8117387494426549,0.8902569315383042
T1ax+T2cor,2,Cavernous hemangioma,67,0.5603066079082111,0.014378094998379047,0.4770059752987027,0.6179507047670983
T1ax+T2cor,2,Subdural intracranial hemorrhage,26,0.799891420006873,0.022892846673482604,0.6882725953122986,0.8806660230004713
T1ax+T2cor,2,Gliosis,3854,0.7971924754998595,0.0017670991846840743,0.7875021933956693,0.8040373706888255
T1ax+T2cor,2,Cerebral atrophy,2012,0.947770874751491,0.0009079602386438529,0.9416451149075388,0.951483430830339
T1ax+T2cor,2,Encephalomalacia,248,0.7973298058257576,0.0035196623359799524,0.7602240286790359,0.8194186688293339
T1ax+T2cor,2,Arachnoid cyst,572,0.6758526910870661,0.007599405994772812,0.6501807716950758,0.6941055087963638
T1ax+T2cor,2,Empty sella syndrome,670,0.7653116846359245,0.004304840585683093,0.7435198994055952,0.7782538246163788
T1ax+T2cor,2,Intracranial aneurysm,32,0.5022402564620355,0.007179075223928779,0.3982477693953544,0.6377153904172002
T1ax+T2cor,2,Chiari malformation,62,0.7929363110008273,0.008441846922077676,0.7392649458965375,0.8510641918217968
T1ax+T2cor,2,Cyst of pineal gland,244,0.6981590609427935,0.0019355496002998812,0.663851881162761,0.7202699215431755
T1ax+T2cor,2,Rathke's pouch cyst,47,0.6985979070414375,0.01102102822989439,0.6121208359321448,0.7513717120833963
T1ax+T2cor,2,Cerebral edema,187,0.8552640807205947,0.0018642196994058972,0.8290449673903757,0.8877614942590697
T1ax+T2cor,2,Spinal stenosis,26,0.7214338355546172,0.0319012899614843,0.6539530200842024,0.8407977192408661
T1ax+T2cor,2,Mastoiditis,281,0.7227543562843467,0.008958645332726957,0.6760294821807564,0.740592249775431
T1ax+T2cor,2,Chronic mastoiditis,360,0.7558132736536735,0.0035078526267927975,0.7382673312069791,0.7831852966730054
T1ax+T2cor,2,Ventriculomegaly,1204,0.9146334206582388,0.002355825126293155,0.9055218793264054,0.922651977809839
T1ax+T2cor,2,Cerebellar degeneration,318,0.8472269892134255,0.004494133209278644,0.833478343142684,0.8771786397702869
T1ax+T2cor,2,Mega cisterna magna,225,0.7800419390425134,0.0064702156807896595,0.7477858124576053,0.8098126396553522
T1ax+T2cor,2,Structure of cave of septum pellucidum,238,0.6880588032814572,0.008956869583413537,0.6422550438306445,0.7104837853458198
T1ax+T2cor,2,Hyperostosis of skull,55,0.9201149636692244,0.0068298425125807955,0.8910871170534617,0.9457885560130249
T1ax+T2cor,2,Choroid plexus cyst,57,0.5996225218381174,0.03555414089755241,0.47967587582628635,0.6212977816030176
