n_candidates,perm,optimism,observed
2,0,0.005069106840206117,0.004234679409709119
2,1,0.0072082467775219095,0.004234679409709119
2,2,0.006441164084543816,0.004234679409709119
2,3,0.005622144347616875,0.004234679409709119
2,4,0.0072820931646087605,0.004234679409709119
2,5,0.004966273783353681,0.004234679409709119
2,6,0.0056884554537462995,0.004234679409709119
2,7,0.005035542203353227,0.004234679409709119
2,8,0.00447678569100235,0.004234679409709119
2,9,0.007928678655690913,0.004234679409709119
2,10,0.004909864786294793,0.004234679409709119
2,11,0.006385334565241985,0.004234679409709119
2,12,0.003595100577186483,0.004234679409709119
2,13,0.006661719255601384,0.004234679409709119
2,14,0.007305494986360184,0.004234679409709119
2,15,0.003964329213975715,0.004234679409709119
2,16,0.005816468178110323,0.004234679409709119
2,17,0.005617029711541932,0.004234679409709119
2,18,0.005446358340885915,0.004234679409709119
2,19,0.0051257845382737255,0.004234679409709119
2,20,0.005547284751426407,0.004234679409709119
2,21,0.004539044855137786,0.004234679409709119
2,22,0.004581844907197485,0.004234679409709119
2,23,0.005736252261342223,0.004234679409709119
2,24,0.002340226300557635,0.004234679409709119
2,25,0.007047434562441723,0.004234679409709119
2,26,0.004945244724317288,0.004234679409709119
2,27,0.007362881121220077,0.004234679409709119
2,28,0.006785885195008834,0.004234679409709119
2,29,0.007138316680607826,0.004234679409709119
2,30,0.004884323126128187,0.004234679409709119
2,31,0.0026730307820842514,0.004234679409709119
2,32,0.005884483924368522,0.004234679409709119
2,33,0.005545287784830211,0.004234679409709119
2,34,0.005992047443129533,0.004234679409709119
2,35,0.004483129187635937,0.004234679409709119
2,36,0.006025264018831633,0.004234679409709119
2,37,0.006293372163437505,0.004234679409709119
2,38,0.003970700497324675,0.004234679409709119
2,39,0.0062438943914169265,0.004234679409709119
2,40,0.007882178925878114,0.004234679409709119
2,41,0.005419470224059697,0.004234679409709119
2,42,0.006277475956630252,0.004234679409709119
2,43,0.004162613569013263,0.004234679409709119
2,44,0.006339640061577001,0.004234679409709119
2,45,0.004615969484162763,0.004234679409709119
2,46,0.004202513707118327,0.004234679409709119
2,47,0.007045713744870896,0.004234679409709119
2,48,0.0044471374826129395,0.004234679409709119
2,49,0.004404415964952224,0.004234679409709119
2,50,0.006096088069910577,0.004234679409709119
2,51,0.004570049832607226,0.004234679409709119
2,52,0.0064154864340231765,0.004234679409709119
2,53,0.005873110265108228,0.004234679409709119
2,54,0.0039003245937677677,0.004234679409709119
2,55,0.004489221093784357,0.004234679409709119
2,56,0.0065824946868442424,0.004234679409709119
2,57,0.0054966664045398295,0.004234679409709119
2,58,0.005550524539533197,0.004234679409709119
2,59,0.005450792920986269,0.004234679409709119
2,60,0.006423881153500288,0.004234679409709119
2,61,0.007496375238022157,0.004234679409709119
2,62,0.0039020216355160064,0.004234679409709119
2,63,0.004367464363031592,0.004234679409709119
2,64,0.003924834380801601,0.004234679409709119
2,65,0.005117992570490837,0.004234679409709119
2,66,0.006277074427760931,0.004234679409709119
2,67,0.007577867531994631,0.004234679409709119
2,68,0.004487909392211498,0.004234679409709119
2,69,0.005164321163027785,0.004234679409709119
2,70,0.005396729162959413,0.004234679409709119
2,71,0.0048582968574721885,0.004234679409709119
2,72,0.003987703572794765,0.004234679409709119
2,73,0.004191229370541616,0.004234679409709119
2,74,0.005729753653064273,0.004234679409709119
2,75,0.0048506662021355895,0.004234679409709119
2,76,0.007872665646415034,0.004234679409709119
2,77,0.0038160432527631905,0.004234679409709119
2,78,0.0034943851809545734,0.004234679409709119
2,79,0.004581160900509473,0.004234679409709119
2,80,0.004645752453153462,0.004234679409709119
2,81,0.0066531217451824,0.004234679409709119
2,82,0.005699814829102923,0.004234679409709119
2,83,0.005339519611956556,0.004234679409709119
2,84,0.006606911670715809,0.004234679409709119
2,85,0.005641194365060165,0.004234679409709119
2,86,0.002560740439202014,0.004234679409709119
2,87,0.005831192556138232,0.004234679409709119
2,88,0.0066963612091990865,0.004234679409709119
2,89,0.0046887691690610245,0.004234679409709119
2,90,0.007283750233622821,0.004234679409709119
2,91,0.005650215610721099,0.004234679409709119
2,92,0.005046984563771728,0.004234679409709119
2,93,0.003157323723984029,0.004234679409709119
2,94,0.004857440355685694,0.004234679409709119
2,95,0.00813150935260526,0.004234679409709119
2,96,0.007967432436584265,0.004234679409709119
2,97,0.004987925794935233,0.004234679409709119
2,98,0.006996873128316872,0.004234679409709119
2,99,0.003589545371386449,0.004234679409709119
4,0,0.01552277695289328,0.006183540587758607
4,1,0.010704079733630523,0.006183540587758607
4,2,0.011877716914422354,0.006183540587758607
4,3,0.016343926578765933,0.006183540587758607
4,4,0.013211876918066301,0.006183540587758607
4,5,0.016326453046659917,0.006183540587758607
4,6,0.013388246029806261,0.006183540587758607
4,7,0.00918243407617847,0.006183540587758607
4,8,0.01563213476849834,0.006183540587758607
4,9,0.017007998252297762,0.006183540587758607
4,10,0.018380646095318476,0.006183540587758607
4,11,0.016542201489671005,0.006183540587758607
4,12,0.011905853746351391,0.006183540587758607
4,13,0.013475570934703085,0.006183540587758607
4,14,0.013105296310947756,0.006183540587758607
4,15,0.017370475113283823,0.006183540587758607
4,16,0.009749944332019478,0.006183540587758607
4,17,0.014380623742639376,0.006183540587758607
4,18,0.014559975899549604,0.006183540587758607
4,19,0.011590186314448359,0.006183540587758607
4,20,0.01222036925361858,0.006183540587758607
4,21,0.010202897303470126,0.006183540587758607
4,22,0.015375569829069735,0.006183540587758607
4,23,0.013827186913607514,0.006183540587758607
4,24,0.014276327620425522,0.006183540587758607
4,25,0.012405276114458519,0.006183540587758607
4,26,0.012114494137270726,0.006183540587758607
4,27,0.014262744390999782,0.006183540587758607
4,28,0.012411719932622356,0.006183540587758607
4,29,0.019750559942976365,0.006183540587758607
4,30,0.016809495462893398,0.006183540587758607
4,31,0.012206072748343011,0.006183540587758607
4,32,0.012327490972420252,0.006183540587758607
4,33,0.010797630430810723,0.006183540587758607
4,34,0.015128382574884802,0.006183540587758607
4,35,0.010674577164704324,0.006183540587758607
4,36,0.016196338595943383,0.006183540587758607
4,37,0.012685230211353704,0.006183540587758607
4,38,0.01647703638953002,0.006183540587758607
4,39,0.012720177965073187,0.006183540587758607
4,40,0.009984454204765736,0.006183540587758607
4,41,0.013157278745435486,0.006183540587758607
4,42,0.013715179862508198,0.006183540587758607
4,43,0.011374699073751215,0.006183540587758607
4,44,0.014534958213301197,0.006183540587758607
4,45,0.011671993218724475,0.006183540587758607
4,46,0.015236164440089905,0.006183540587758607
4,47,0.01748205706455891,0.006183540587758607
4,48,0.015616819402481386,0.006183540587758607
4,49,0.015644123065884863,0.006183540587758607
4,50,0.011831146457694786,0.006183540587758607
4,51,0.013853019509346975,0.006183540587758607
4,52,0.014568347413792537,0.006183540587758607
4,53,0.011578781520633963,0.006183540587758607
4,54,0.013314040542577843,0.006183540587758607
4,55,0.014118334586588344,0.006183540587758607
4,56,0.012727554526096307,0.006183540587758607
4,57,0.01423002348897251,0.006183540587758607
4,58,0.011108949157979608,0.006183540587758607
4,59,0.00902640530726151,0.006183540587758607
4,60,0.014434177450950214,0.006183540587758607
4,61,0.012208547662252545,0.006183540587758607
4,62,0.014685493090779156,0.006183540587758607
4,63,0.013492860788114791,0.006183540587758607
4,64,0.016659361123446237,0.006183540587758607
4,65,0.01176483157609931,0.006183540587758607
4,66,0.010653304559641308,0.006183540587758607
4,67,0.012890600902677518,0.006183540587758607
4,68,0.014367897205503855,0.006183540587758607
4,69,0.016715831550438154,0.006183540587758607
4,70,0.01912888554322012,0.006183540587758607
4,71,0.014842934248417872,0.006183540587758607
4,72,0.014206095178593059,0.006183540587758607
4,73,0.018324439570010398,0.006183540587758607
4,74,0.011160450530641186,0.006183540587758607
4,75,0.01157130461911654,0.006183540587758607
4,76,0.010050952368959032,0.006183540587758607
4,77,0.014851492952839107,0.006183540587758607
4,78,0.011497926505559586,0.006183540587758607
4,79,0.01659333418759651,0.006183540587758607
4,80,0.013990939863615881,0.006183540587758607
4,81,0.00991753989771682,0.006183540587758607
4,82,0.012274945140858251,0.006183540587758607
4,83,0.017379632231869224,0.006183540587758607
4,84,0.012757188895019533,0.006183540587758607
4,85,0.01029029718260388,0.006183540587758607
