C,seed,subset,subset_bits,k,finding,finding_idx,n_pos,n,auroc,auprc
0.1,0,SWIax,0000100,1,Spinal cord compression,6,23,2512,0.4980522996838262,0.010506152912891399
0.1,0,SWIax,0000100,1,Lacunar infarct,7,86,2512,0.8097547882436398,0.1328738658334712
0.1,0,SWIax,0000100,1,Silent micro-hemorrhage of brain,8,77,2512,0.697847942611803,0.10843072745018986
0.1,0,SWIax,0000100,1,Gliosis,11,1027,2512,0.7119320435776133,0.6410264183933537
0.1,0,SWIax,0000100,1,Cerebral atrophy,12,324,2512,0.8879254406752883,0.5777859513088834
0.1,0,SWIax,0000100,1,Encephalomalacia,13,84,2512,0.6549139013101122,0.09330275450913961
0.1,0,SWIax,0000100,1,Arachnoid cyst,14,69,2512,0.6202459556140881,0.05481340471150033
0.1,0,SWIax,0000100,1,Empty sella syndrome,15,72,2512,0.5644637978142076,0.04259624540503709
0.1,0,SWIax,0000100,1,Cyst of pineal gland,19,27,2512,0.6697071316789627,0.01803393176325932
0.1,0,SWIax,0000100,1,Cerebral edema,22,197,2512,0.8075056736577826,0.3704899286873256
0.1,0,SWIax,0000100,1,Mastoiditis,24,62,2512,0.6095194206714944,0.07461812148074917
0.1,0,SWIax,0000100,1,Chronic mastoiditis,25,25,2512,0.6916606353035786,0.037569200669438425
0.1,0,SWIax,0000100,1,Ventriculomegaly,26,304,2512,0.864818721395881,0.5012554891691161
0.1,0,SWIax,0000100,1,Cerebellar degeneration,27,94,2512,0.7518566425567111,0.11819893044185466
0.1,0,SWIax,0000100,1,Mega cisterna magna,28,20,2512,0.7037520064205458,0.02404962616794739
0.1,0,SWIax,0000100,1,Foraminal Spinal Stenosis,33,25,2512,0.6194129473260956,0.013313204274296515
0.1,0,FLAIRsag,0001000,1,Cerebral infarction,0,161,2512,0.7486123256655686,0.19696023456301912
0.1,0,FLAIRsag,0001000,1,Cerebral hemorrhage,1,127,2512,0.7858036613347861,0.2277471152799641
0.1,0,FLAIRsag,0001000,1,Metastatic malignant neoplasm to brain,2,144,2512,0.7644108952702702,0.18851551385215554
0.1,0,FLAIRsag,0001000,1,Intracranial meningioma,3,62,2512,0.6311784068466096,0.045052952473739236
0.1,0,FLAIRsag,0001000,1,Demyelinating disease of central nervous system,4,66,2512,0.6935627741024306,0.08117318616318221
0.1,0,FLAIRsag,0001000,1,Herniation of nucleus pulposus,5,42,2512,0.6783689994216311,0.03220074285075554
0.1,0,FLAIRsag,0001000,1,Spinal cord compression,6,23,2512,0.49055845721173164,0.012039350522117605
0.1,0,FLAIRsag,0001000,1,Lacunar infarct,7,86,2512,0.7841264211353747,0.1322801994046441
0.1,0,FLAIRsag,0001000,1,Silent micro-hemorrhage of brain,8,77,2512,0.5627510066935117,0.049484892918712706
0.1,0,FLAIRsag,0001000,1,Gliosis,11,1027,2512,0.700464561224055,0.5987139976721179
0.1,0,FLAIRsag,0001000,1,Cerebral atrophy,12,324,2512,0.88175824361839,0.5768347918376366
0.1,0,FLAIRsag,0001000,1,Encephalomalacia,13,84,2512,0.701179689338668,0.12548060503129685
0.1,0,FLAIRsag,0001000,1,Arachnoid cyst,14,69,2512,0.6555612901694876,0.06344900164437992
0.1,0,FLAIRsag,0001000,1,Empty sella syndrome,15,72,2512,0.5898280965391622,0.04054132046498454
0.1,0,FLAIRsag,0001000,1,Cyst of pineal gland,19,27,2512,0.5376406587674194,0.019204070699395157
0.1,0,FLAIRsag,0001000,1,Cerebral edema,22,197,2512,0.8196094769271249,0.4670620805576276
0.1,0,FLAIRsag,0001000,1,Mastoiditis,24,62,2512,0.7094535878867676,0.056937496044755204
0.1,0,FLAIRsag,0001000,1,Chronic mastoiditis,25,25,2512,0.7347004422999598,0.07271656403171266
0.1,0,FLAIRsag,0001000,1,Ventriculomegaly,26,304,2512,0.8592885917238748,0.490503200070716
0.1,0,FLAIRsag,0001000,1,Cerebellar degeneration,27,94,2512,0.7854169966386849,0.13255861729797452
0.1,0,FLAIRsag,0001000,1,Mega cisterna magna,28,20,2512,0.5813402889245586,0.009783770896254085
0.1,0,FLAIRsag,0001000,1,Foraminal Spinal Stenosis,33,25,2512,0.5941616405307599,0.021800548092252743
0.1,0,FLAIRax,0010000,1,Cerebral infarction,0,161,2512,0.7554707789205597,0.25587901362594134
0.1,0,FLAIRax,0010000,1,Cerebral hemorrhage,1,127,2512,0.7601016854025322,0.23129457265910994
0.1,0,FLAIRax,0010000,1,Metastatic malignant neoplasm to brain,2,144,2512,0.8161364489489489,0.23161442651622197
0.1,0,FLAIRax,0010000,1,Intracranial meningioma,3,62,2512,0.6635154707044107,0.062247903191165466
0.1,0,FLAIRax,0010000,1,Demyelinating disease of central nervous system,4,66,2512,0.7607101266136426,0.1159424867970136
0.1,0,FLAIRax,0010000,1,Herniation of nucleus pulposus,5,42,2512,0.6786581839213418,0.03531399279275262
0.1,0,FLAIRax,0010000,1,Spinal cord compression,6,23,2512,0.6889618669973971,0.023531647406651344
0.1,0,FLAIRax,0010000,1,Lacunar infarct,7,86,2512,0.8096445484000844,0.16073477343797854
0.1,0,FLAIRax,0010000,1,Silent micro-hemorrhage of brain,8,77,2512,0.600704018773834,0.048140398374339005
0.1,0,FLAIRax,0010000,1,Gliosis,11,1027,2512,0.7157075460872928,0.6349360508682954
0.1,0,FLAIRax,0010000,1,Cerebral atrophy,12,324,2512,0.8937766605728215,0.6494529601745841
0.1,0,FLAIRax,0010000,1,Encephalomalacia,13,84,2512,0.6627539813289401,0.13134262455028284
0.1,0,FLAIRax,0010000,1,Arachnoid cyst,14,69,2512,0.6677997472814964,0.07527877900907291
0.1,0,FLAIRax,0010000,1,Empty sella syndrome,15,72,2512,0.6411828324225864,0.05067429230833834
0.1,0,FLAIRax,0010000,1,Cyst of pineal gland,19,27,2512,0.5774647887323944,0.013067633756028926
0.1,0,FLAIRax,0010000,1,Cerebral edema,22,197,2512,0.8312725438817686,0.45896791855305336
0.1,0,FLAIRax,0010000,1,Mastoiditis,24,62,2512,0.6567149440421329,0.06948475357605029
0.1,0,FLAIRax,0010000,1,Chronic mastoiditis,25,25,2512,0.7199999999999999,0.09784597705101339
0.1,0,FLAIRax,0010000,1,Ventriculomegaly,26,304,2512,0.8870181993707094,0.5520411098984097
0.1,0,FLAIRax,0010000,1,Cerebellar degeneration,27,94,2512,0.7481037608010842,0.13597772849584097
0.1,0,FLAIRax,0010000,1,Mega cisterna magna,28,20,2512,0.6740569823434992,0.01861479836917018
0.1,0,FLAIRax,0010000,1,Foraminal Spinal Stenosis,33,25,2512,0.5614957780458384,0.013643356038734334
0.1,0,T2ax,0100000,1,Cerebral infarction,0,161,2512,0.769008034112615,0.22742068034977672
0.1,0,T2ax,0100000,1,Cerebral hemorrhage,1,127,2512,0.7931890589148054,0.21451860288793725
0.1,0,T2ax,0100000,1,Metastatic malignant neoplasm to brain,2,144,2512,0.7203013560435435,0.15003622210383788
0.1,0,T2ax,0100000,1,Intracranial meningioma,3,62,2512,0.6152797893350889,0.04353008592053377
0.1,0,T2ax,0100000,1,Demyelinating disease of central nervous system,4,66,2512,0.710684110111747,0.07684347700262358
0.1,0,T2ax,0100000,1,Herniation of nucleus pulposus,5,42,2512,0.695122421438211,0.033007037635542635
0.1,0,T2ax,0100000,1,Spinal cord compression,6,23,2512,0.4423812601533705,0.008626036901690547
0.1,0,T2ax,0100000,1,Lacunar infarct,7,86,2512,0.8528921183304894,0.19285420413355545
0.1,0,T2ax,0100000,1,Silent micro-hemorrhage of brain,8,77,2512,0.668977839409051,0.0791250664042113
0.1,0,T2ax,0100000,1,Gliosis,11,1027,2512,0.7397099852796055,0.6642852430525541
0.1,0,T2ax,0100000,1,Cerebral atrophy,12,324,2512,0.8860422732299639,0.6179586936156863
0.1,0,T2ax,0100000,1,Encephalomalacia,13,84,2512,0.6382335059229622,0.08983648803485976
0.1,0,T2ax,0100000,1,Arachnoid cyst,14,69,2512,0.6080312279390391,0.042034887409351476
0.1,0,T2ax,0100000,1,Empty sella syndrome,15,72,2512,0.6800204918032786,0.06539940627498163
0.1,0,T2ax,0100000,1,Cyst of pineal gland,19,27,2512,0.4970415083091139,0.010590028337972433
0.1,0,T2ax,0100000,1,Cerebral edema,22,197,2512,0.7748144412406399,0.32771690996012837
