a,b,axis,condition,n_seeds,delta,ci_lo,ci_hi,p_sign,seed_sd
queryseq,uniform,avail,T1ax+T2ax+FLAIRax+T2cor,3,-9.131114826815487e-07,-0.0009934891448161185,0.0009917035410115895,0.5126666666666667,0.0005382754739176894
queryseq,uniform,budget,2,3,0.003080389350458569,-0.005154033696687055,0.011372477550465358,0.7613333333333333,0.0007830654636400959
queryseq,patient,avail,T1ax+T2ax+FLAIRax+T2cor,3,-0.000449716530485028,-0.0013401801570060879,0.00039968570832515726,0.2353333333333333,0.0003845835475882203
queryseq,patient,budget,2,3,0.00014927375129068787,-0.0012156675523960713,0.0017308839928624699,0.49800000000000005,0.0003952604922801833
queryseq,finding,avail,T1ax+T2ax+FLAIRax+T2cor,3,-0.0003606070188951216,-0.0013048198376474716,0.0005126591114539667,0.31866666666666665,0.0004609293374364669
queryseq,finding,budget,2,3,-0.002485361699924738,-0.0075414403178523486,0.0020440095742631594,0.158,0.0003004071334630226
queryseq,label_id,avail,T1ax+T2ax+FLAIRax+T2cor,3,-0.0003911383039435326,-0.001223782152531867,0.00040029061498811125,0.27066666666666667,0.0003911526542692557
queryseq,label_id,budget,2,3,0.00017706890692377364,-0.0013116644225083594,0.001654337415903048,0.5346666666666666,0.0003611221560293788
