mode,tau,beta,seed,val,macro_full,macro_avg_subset,macro_worst_subset,macro_k1,worst_k1,macro_k2,worst_k2,gate_mean,gate_spread_over_seq,gate_spread_over_findings,avg_inputs_read
queryseq,0.05,0.0,0,0.8047622613188089,0.7801061093816396,0.7737368528566223,0.7521576998158211,0.763978407546503,0.6069359445124439,0.7749626994988793,0.6249966000271997,0.9981082081794739,0.0037015662528574467,0.007007937878370285,4.991659873330407
queryseq,0.05,0.0,1,0.7932324717626908,0.772200741349276,0.7654479974929117,0.7407424842376124,0.7504413747869907,0.5676050591595267,0.7619486767629348,0.5967088263293894,0.9993271827697754,0.0008341748034581542,0.0030772588215768337,4.996801906314667
queryseq,0.05,0.0,2,0.7326756339440703,0.6700691547431439,0.6653566333272753,0.6315249326760046,0.6523773324620468,0.32166921465375686,0.6754672157934974,0.28599739539097446,0.9014670848846436,0.02908637747168541,0.14975473284721375,4.50755628017809
queryseq,0.05,0.01,0,0.5,0.5,0.5,0.5,0.4830514502167602,0.40070880325814534,0.479498665739343,0.38751934984520126,2.834923452371645e-21,2.411261172005661e-21,1.6696480721256608e-20,0.0
queryseq,0.05,0.01,1,0.5,0.5,0.5,0.5,0.5170317880202983,0.39710935059772273,0.4751683823410598,0.407765737874097,5.633807387220324e-34,0.0,0.0,0.0
queryseq,0.05,0.01,2,0.5,0.5,0.5,0.5,0.5557026423043385,0.3792770536956584,0.5504894704179749,0.37626714370900416,7.676793736182454e-27,0.0,0.0,0.0
queryseq,0.05,0.05,0,0.5,0.5,0.5,0.5,0.5105887817780369,0.3914344685242518,0.5037062587478717,0.37703818369453046,2.6520459923852244e-19,2.682570766446021e-19,1.559072293286631e-18,0.0
queryseq,0.05,0.05,1,0.5,0.5,0.5,0.5,0.5201757621749326,0.4307007125890736,0.5100375693231981,0.4060544718439455,5.865314443634045e-25,3.4994804062738705e-25,0.0,0.0
queryseq,0.05,0.05,2,0.5,0.5,0.5,0.5,0.5581566265152658,0.3582076837890791,0.5445358186001432,0.368515205724508,7.026958057322912e-31,0.0,0.0,0.0
queryseq,0.1,0.0,0,0.8038557873942042,0.7784163494976452,0.7723088539716876,0.7502416312601926,0.7615484131759329,0.5878787878787879,0.7708712610661511,0.6053583571331429,0.9689856171607971,0.03228209540247917,0.07400758564472198,4.849783658368345
queryseq,0.1,0.0,1,0.5,0.5,0.5,0.5,0.47543681747210154,0.30326708566898813,0.47490374144662834,0.3327197149643705,7.282031789846529e-19,4.869529548038419e-19,4.235464589243552e-18,0.0
queryseq,0.1,0.0,2,0.8066891645685222,0.7826368755677166,0.7756409123281276,0.7499905874995171,0.7648063742740989,0.5886848905208759,0.7746607509860185,0.5965728274173807,0.9696926474571228,0.048276230692863464,0.06110585480928421,4.852166551702514
queryseq,0.1,0.01,0,0.5,0.5,0.5,0.5,0.579193691838254,0.37061646363971945,0.5751596077857151,0.37450663032058384,1.0575689213152518e-18,6.8570925655657875e-19,4.608528008588643e-18,0.0
queryseq,0.1,0.01,1,0.5,0.5,0.5,0.5,0.49509529295563476,0.3191558441558441,0.5199827908833773,0.33896103896103896,1.6368599997564764e-14,5.2736377175171146e-15,7.483372103413155e-14,0.0
queryseq,0.1,0.01,2,0.5080552316134938,0.5199301425519572,0.517984725981878,0.4805291135168519,0.4537323356705046,0.2621140142517815,0.447843614988664,0.26092512139023766,1.2128865349136236e-13,1.1664424309255905e-13,4.698707785702472e-13,0.0
queryseq,0.1,0.05,0,0.5,0.5,0.5,0.5,0.5055133717418014,0.42067751370076956,0.5090441399709493,0.4078428031916404,3.542340754509747e-16,9.645639302928568e-17,1.61742180063894e-15,0.0
queryseq,0.1,0.05,1,0.5519091899754066,0.5487527904576222,0.5407063192324453,0.5071937998421491,0.4826216317615879,0.325,0.482335773281442,0.3042161520190024,0.04852782189846039,0.0015313769690692425,0.20364193618297577,0.27020756255095
queryseq,0.1,0.05,2,0.56431928113492,0.5590082840430776,0.550175458651065,0.5300169084377957,0.5890257527940362,0.384728966124315,0.5834683142810861,0.37828321549251787,0.02917211875319481,0.030642636120319366,0.09514665603637695,0.1478020944378253
queryseq,0.25,0.0,0,0.8034307975151973,0.7785365179203616,0.7734112495337597,0.7482644527086858,0.7703730263291808,0.5892016863865089,0.7759529267661879,0.5989177489177488,0.6776675581932068,0.16550467908382416,0.2638571262359619,3.4389853891013984
queryseq,0.25,0.0,1,0.8053323027538797,0.7847914636322738,0.7789988754521684,0.7527937211895646,0.780459555079026,0.6056575547395621,0.7866429848718578,0.6393852849177206,0.5605457425117493,0.20812809467315674,0.2724331021308899,2.8730795760958174
queryseq,0.25,0.0,2,0.8043520058031385,0.7856669647993884,0.7778102736539743,0.7440742835774151,0.7667723336407812,0.6134366925064598,0.7784259551385238,0.6110431116551068,0.9310347437858582,0.07171431928873062,0.10777664184570312,4.724086034990908
queryseq,0.25,0.01,0,0.8095642645739289,0.7829447754692649,0.7766115917771809,0.7474623119653593,0.7747457198378322,0.5844145246838025,0.7800906838024985,0.619203046375629,0.004698272328823805,0.004642637912184,0.0084393210709095,0.0007524926318429799
queryseq,0.25,0.01,1,0.8087189338959844,0.7831235394866295,0.7772311317593312,0.7467816190857435,0.7725050515206414,0.587732898136815,0.7832661743418922,0.6218958248334012,0.003732021665200591,0.00397361908107996,0.005628807470202446,0.0
queryseq,0.25,0.01,2,0.8087476069539553,0.7840078415360302,0.7778096711215624,0.7418079176890804,0.7756157437492867,0.6270021645021644,0.7824833383536625,0.6388956888344893,0.005475538317114115,0.006266577169299126,0.008023514412343502,0.0003762463159214899
queryseq,0.25,0.05,0,0.8087337583767809,0.7822414909768175,0.7771780449186595,0.7518553375365848,0.7792152837680636,0.5943424452604379,0.7826001859234354,0.6287773697810417,0.0022958219051361084,0.002276142593473196,0.006297741085290909,0.0029786166677117955
queryseq,0.25,0.05,1,0.5003167564143174,0.5003958828186857,0.5002043266160957,0.5,0.5519049869282868,0.3880796206377601,0.5575477517508322,0.3769202373853537,1.2624592636184369e-17,2.4601229883137574e-17,5.0655121270816274e-17,0.0
queryseq,0.25,0.05,2,0.807416940178585,0.7831753480498875,0.7767131159655171,0.7453475001275787,0.7733302134361408,0.6282877736978104,0.7831050490568318,0.6444716442268462,0.00030265250825323164,0.0003210644645150751,0.0007799497107043862,0.0
queryseq,1.0,0.0,0,0.8069370659423309,0.7769233075603613,0.7709506936444536,0.7442453962440901,0.7632799755710007,0.5958656330749355,0.7767101478808907,0.6196969696969697,0.22074711322784424,0.08317189663648605,0.15936696529388428,0.6451056625070546
queryseq,1.0,0.0,1,0.8063751706462593,0.7868069317023264,0.7806158078131101,0.7493316476600157,0.7774120370558165,0.6081055351557189,0.7852443645446802,0.653719570243438,0.2616073489189148,0.12362854927778244,0.11865651607513428,0.7826236909763592
queryseq,1.0,0.0,2,0.8076500800904179,0.7873417573272352,0.7797321917400801,0.7522192977828288,0.7769643471476106,0.6254045967632259,0.7831014889858824,0.6301645586835305,0.3367539942264557,0.12826137244701385,0.15405230224132538,1.2038314416504672
queryseq,1.0,0.01,0,0.8080343120635481,0.7866680769291121,0.7792338576633889,0.7443709418702645,0.7825243492423019,0.6360930735930737,0.785326841405989,0.6297077922077922,0.022271787747740746,0.014082292094826698,0.020731259137392044,0.0
queryseq,1.0,0.01,1,0.8128092969157044,0.7899946469020072,0.783222774172792,0.7507433653003405,0.7789181132865898,0.6340541275669794,0.7890424098691207,0.6364205086359309,0.019640279933810234,0.015236278995871544,0.018696924671530724,0.0
queryseq,1.0,0.01,2,0.8119881637292756,0.7875167333350785,0.7817719951586035,0.7510782009674245,0.7798742973289797,0.6371005031959744,0.7872828355994245,0.6320413436692507,0.010407074354588985,0.00716981990262866,0.010095925070345402,0.0
queryseq,1.0,0.05,0,0.809827592498013,0.7871768941235056,0.7797331943711465,0.7500960096856888,0.7822997375550315,0.6002705627705628,0.784220145925879,0.5958874458874459,0.0033746198751032352,0.0022357830312103033,0.0036763581447303295,0.0
queryseq,1.0,0.05,1,0.8113619717753362,0.7817731108092718,0.7748476250570476,0.7486952515668612,0.7709312372443443,0.639249286005712,0.7799089499869427,0.6358766233766233,0.002032850170508027,0.0015992446569725871,0.0020421803928911686,0.0
queryseq,1.0,0.05,2,0.8089612016614056,0.7893436486528387,0.7821316043211896,0.7538536701524045,0.7828501277675656,0.640718074255406,0.7858088707424122,0.6415884672922616,0.0020736735314130783,0.0014454302145168185,0.0024488840717822313,0.0
patient,0.05,0.0,0,0.8095460331589865,0.7832587377094108,0.7766579077179656,0.750127461839455,0.7828980290052124,0.6094111247110023,0.7827579746887281,0.6136270909832721,0.33279332518577576,0.11319474875926971,2.9802322387695312e-08,1.0185614849187936
patient,0.05,0.0,1,0.8105657377955893,0.7873504151577126,0.7801160837685319,0.7501562306024425,0.7815653212897665,0.5975248198014416,0.7842929632739627,0.6065007479940161,0.32766997814178467,0.12242759764194489,2.9802322387695312e-08,1.0754060324825987
patient,0.05,0.0,2,0.8117401627619408,0.7854396393717985,0.779259683503009,0.7527005641482636,0.780711594163623,0.599483204134367,0.7858413554922873,0.5987760097919217,0.27657589316368103,0.0953347459435463,2.6822089438383045e-08,0.7146171693735499
patient,0.05,0.01,0,0.8067238628777884,0.7831675318250949,0.7756019372192859,0.7466940644794656,0.7840475578580728,0.6013327893376853,0.7859651197811446,0.6016319869441045,0.007410265970975161,0.0033205461222678423,1.1641532182693481e-09,0.0
patient,0.05,0.01,1,0.8085186948506993,0.7896478431411335,0.7823066910950959,0.7521471856398305,0.7858108680380327,0.6137902896776826,0.7847902395749228,0.6196654426764586,0.005489247385412455,0.002265991410240531,4.656612873077393e-10,0.0
patient,0.05,0.01,2,0.8084412942808843,0.7881624827058585,0.7812492804746343,0.7540892037994854,0.786727848877566,0.5967632258941928,0.7897985331814762,0.6096015231878145,0.005306317936629057,0.0025058637838810682,6.519257911286047e-10,0.0
patient,0.05,0.05,0,0.8038935688498896,0.7753635885799369,0.7680177943247208,0.7319380263417617,0.7652562377312834,0.5992656058751531,0.7752432484393214,0.6074799401604787,0.0015648570843040943,0.0009132483974099159,1.1641532182693481e-10,0.0
patient,0.05,0.05,1,0.8073784563265679,0.7916850825501985,0.782369061557151,0.7507470146343139,0.7886399996327839,0.6211614307085543,0.7915857677783357,0.6241806065551476,0.0025570590514689684,0.0017255486454814672,3.0267982564780027e-10,0.0
patient,0.05,0.05,2,0.8071554706678477,0.7853093366758358,0.7787171624219664,0.7520130400911498,0.7767323242375275,0.619937440500476,0.7828069633348843,0.6009791921664626,0.0007533269817940891,0.0003999079344794154,6.402842839259293e-11,0.0
patient,0.1,0.0,0,0.8095460331589865,0.7832587377094108,0.7766579077179656,0.750127461839455,0.7828980290052124,0.6094111247110023,0.7827579746887281,0.6136270909832721,0.33279332518577576,0.11319474875926971,2.9802322387695312e-08,1.0185614849187936
patient,0.1,0.0,1,0.8105657377955893,0.7873504151577126,0.7801160837685319,0.7501562306024425,0.7815653212897665,0.5975248198014416,0.7842929632739627,0.6065007479940161,0.32766997814178467,0.12242759764194489,2.9802322387695312e-08,1.0754060324825987
patient,0.1,0.0,2,0.8117401627619408,0.7854396393717985,0.779259683503009,0.7527005641482636,0.780711594163623,0.599483204134367,0.7858413554922873,0.5987760097919217,0.27657589316368103,0.0953347459435463,2.6822089438383045e-08,0.7146171693735499
patient,0.1,0.01,0,0.8067238628777884,0.7831675318250949,0.7756019372192859,0.7466940644794656,0.7840475578580728,0.6013327893376853,0.7859651197811446,0.6016319869441045,0.007410265970975161,0.0033205461222678423,1.1641532182693481e-09,0.0
patient,0.1,0.01,1,0.8085186948506993,0.7896478431411335,0.7823066910950959,0.7521471856398305,0.7858108680380327,0.6137902896776826,0.7847902395749228,0.6196654426764586,0.005489247385412455,0.002265991410240531,4.656612873077393e-10,0.0
patient,0.1,0.01,2,0.8084412942808843,0.7881624827058585,0.7812492804746343,0.7540892037994854,0.786727848877566,0.5967632258941928,0.7897985331814762,0.6096015231878145,0.005306317936629057,0.0025058637838810682,6.519257911286047e-10,0.0
patient,0.1,0.05,0,0.8038935688498896,0.7753635885799369,0.7680177943247208,0.7319380263417617,0.7652562377312834,0.5992656058751531,0.7752432484393214,0.6074799401604787,0.0015648570843040943,0.0009132483974099159,1.1641532182693481e-10,0.0
