finding,n_pos,auroc,auprc,method,seed,axis,subset,k,budget
Cerebral edema,43,0.8772467842235285,0.4989208974705466,uniform,0,availability,T1ax,1,-1
Mastoiditis,22,0.6555194805194805,0.0661099149051146,uniform,0,availability,T1ax,1,-1
Ventriculomegaly,64,0.8726503759398497,0.4086573194211705,uniform,0,availability,T1ax,1,-1
Cerebellar degeneration,39,0.8214474873041095,0.28634054998418074,uniform,0,availability,T1ax,1,-1
Mega cisterna magna,22,0.5149891774891775,0.03255868660139144,uniform,0,availability,T1ax,1,-1
Cerebral infarction,26,0.8400809716599191,0.25689397113957774,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral hemorrhage,20,0.8877078384798099,0.1690814307171838,uniform,0,availability,FLAIRsag+SWIax,2,-1
Gliosis,284,0.7241337297139238,0.5588506092933819,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral atrophy,102,0.915531475748194,0.6172103577323276,uniform,0,availability,FLAIRsag+SWIax,2,-1
Arachnoid cyst,43,0.712525200897294,0.1001148366943369,uniform,0,availability,FLAIRsag+SWIax,2,-1
Empty sella syndrome,45,0.5855569155446756,0.07067137506845947,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cyst of pineal gland,21,0.7018288885114093,0.051327502688443626,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral edema,43,0.9192719425277565,0.4871504419137735,uniform,0,availability,FLAIRsag+SWIax,2,-1
Mastoiditis,22,0.6858766233766234,0.057416282585428635,uniform,0,availability,FLAIRsag+SWIax,2,-1
Ventriculomegaly,64,0.871906328320802,0.4253933964172634,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebellar degeneration,39,0.829984110664548,0.26501606177003945,uniform,0,availability,FLAIRsag+SWIax,2,-1
Mega cisterna magna,22,0.6429112554112555,0.059046424624736506,uniform,0,availability,FLAIRsag+SWIax,2,-1
Cerebral infarction,26,0.8441755612808244,0.2748633210318998,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebral hemorrhage,20,0.8841448931116389,0.1560645018588631,uniform,0,availability,FLAIRax+SWIax,2,-1
Gliosis,284,0.7166163068375652,0.5687879940517305,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebral atrophy,102,0.9227683178534571,0.6564911733855907,uniform,0,availability,FLAIRax+SWIax,2,-1
Arachnoid cyst,43,0.7074708237498936,0.09889261864082648,uniform,0,availability,FLAIRax+SWIax,2,-1
Empty sella syndrome,45,0.6194478444172447,0.08640052684219075,uniform,0,availability,FLAIRax+SWIax,2,-1
Cyst of pineal gland,21,0.7028480833474888,0.0517906307383292,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebral edema,43,0.920123803844734,0.5446930050428817,uniform,0,availability,FLAIRax+SWIax,2,-1
Mastoiditis,22,0.6384740259740259,0.07430819895854669,uniform,0,availability,FLAIRax+SWIax,2,-1
Ventriculomegaly,64,0.8880599937343359,0.4139858305242571,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebellar degeneration,39,0.8563105586191856,0.26621332256446645,uniform,0,availability,FLAIRax+SWIax,2,-1
Mega cisterna magna,22,0.6656926406926407,0.05069590758521369,uniform,0,availability,FLAIRax+SWIax,2,-1
Cerebral infarction,26,0.8408630842841369,0.32441584612441277,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral hemorrhage,20,0.8788004750593825,0.18552673484285506,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Gliosis,284,0.7361104342316876,0.5844286152127686,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral atrophy,102,0.9412151702786377,0.7377973905250788,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Arachnoid cyst,43,0.7205043018996506,0.1131239768870678,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Empty sella syndrome,45,0.615748674010608,0.07465365321669418,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cyst of pineal gland,21,0.706868240756469,0.04988080465341375,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Cerebral edema,43,0.9154953573558224,0.5107775417736565,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
Mastoiditis,22,0.7132034632034632,0.07835218538325738,uniform,0,availability,FLAIRax+FLAIRsag,2,-1
